ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
BP,GO:0034612,response to tumor necrosis factor,183,0.243644021,1.24365549,0.03424062,0.223965349,0.193700091,3539,"tags=31%, list=21%, signal=25%",114769/8372/6868/55914/9530/6517/672/1535/7057/970/820/55504/246330/6188/6198/3717/8491/29108/5516/7133/8877/2353/6772/8754/1147/7114/2852/204851/3576/23411/51763/102/2671/84817/2185/27086/3303/171392/329/7188/3987/60401/22954/10519/10670/2874/54469/7157/4790/81858/51667/64848/1545/84888/149951/678/8764
BP,GO:0031577,spindle checkpoint signaling,46,0.386218978,1.535295334,0.034460293,0.224805171,0.194426426,2553,"tags=37%, list=15%, signal=31%",25906/701/7272/81620/5347/9319/55143/324/991/84101/51451/1063/10459/699/54908/7175/84861
CC,GO:0031093,platelet alpha granule lumen,52,-0.414302368,-1.48928713,0.034475566,0.224805171,0.194426426,1523,"tags=23%, list=9%, signal=21%",3479/5054/88/81/2153/2/5552/3082/54676/2335/5155/213
BP,GO:0061025,membrane fusion,144,0.266609764,1.332846768,0.034454291,0.224805171,0.194426426,3691,"tags=32%, list=22%, signal=25%",9135/55850/10059/9882/11151/128866/27072/4905/8773/10451/64601/8615/27243/26258/84079/23355/9342/8877/9847/9554/91782/8411/5819/6844/6845/23208/9482/8291/29091/5305/9218/9527/9570/10075/6810/1514/55207/143187/200576/7879/26276/5872/8676/9392/135927/2621
BP,GO:0006906,vesicle fusion,106,0.289107547,1.372297334,0.034601134,0.225433404,0.194969763,5512,"tags=54%, list=33%, signal=36%",9882/11151/128866/27072/8773/10451/64601/8615/27243/84079/23355/9342/8877/9847/9554/91782/8411/6844/6845/23208/9482/8291/29091/5305/9527/9570/6810/55207/143187/200576/7879/26276/5872/8676/9392/79643/57132/2054/9341/65082/23176/54809/4218/301/8674/8396/51762/55823/80208/23673/8673/2773/4033/63894/9842/10228/25978
BP,GO:0090312,positive regulation of protein deacetylation,26,0.453116423,1.580564415,0.034862252,0.226751614,0.196109839,3030,"tags=46%, list=18%, signal=38%",122953/187/6839/26993/1859/7422/23411/10270/25855/25865/7157/25836
MF,GO:0022890,inorganic cation transmembrane transporter activity,390,-0.271159841,-1.263645952,0.034841842,0.226751614,0.196109839,4413,"tags=30%, list=26%, signal=23%",56606/79041/523/23315/25769/785/84239/27173/27109/79054/84329/91252/11280/7384/93129/478/9497/53373/27012/9498/535/81031/509/6548/534/3785/6262/9167/9197/57468/2890/9132/79400/518/441168/1020/6334/8911/3767/22821/2906/6507/27133/6329/6543/6558/55107/9296/80024/777/55676/140803/783/201780/169522/6559/3745/774/114134/54503/515/93589/491/3748/55800/55151/5026/6520/1258/8671/1137/245973/1138/56479/1497/5002/3784/516/117532/23516/81033/6550/113235/116443/83697/115584/123041/9377/10343/495/9187/64849/51382/90423/5250/55117/64078/506/89822/3708/84876/782/27345/54946/9254/10060/51312/2900/3765/57030/2897/117531/54714/6547/6326/7780/10396/8884
BP,GO:0001731,formation of translation preinitiation complex,11,0.604941985,1.623566937,0.035095539,0.227576581,0.196823324,2759,"tags=55%, list=16%, signal=46%",7458/1968/54505/23521/1975/8562
MF,GO:0030553,cGMP binding,11,-0.636177339,-1.568619668,0.035136597,0.227576581,0.196823324,3907,"tags=45%, list=23%, signal=35%",5148/50940/1258/10846/54714
BP,GO:0050685,positive regulation of mRNA processing,32,0.415207351,1.522762949,0.035102116,0.227576581,0.196823324,3947,"tags=47%, list=23%, signal=36%",54623/170506/79577/6625/27339/9967/29896/10419/4928/494115/27316/4691/64506/9588/5935
BP,GO:0007416,synapse assembly,103,-0.346518301,-1.403596667,0.035110533,0.227576581,0.196823324,3762,"tags=33%, list=22%, signal=26%",1981/5728/6622/119/1020/84628/57555/23380/23316/9806/575/8934/4915/10507/23768/1855/653464/577/1948/139065/100528062/999/7855/27445/79414/221935/654429/26045/22883/9378/22941/4204/29904/54549
BP,GO:0018022,peptidyl-lysine methylation,129,0.272328633,1.337030536,0.03510132,0.227576581,0.196823324,2898,"tags=29%, list=17%, signal=25%",6018/4602/672/3009/11137/3008/3007/3006/6839/55818/51504/7403/54904/57343/29072/23411/7936/9646/51742/5929/8473/55183/4000/54880/80335/55904/9070/65990/1499/22823/4800/10445/23067/55170/8085/29915/2146/23028
BP,GO:0051338,regulation of transferase activity,739,0.194476238,1.141653131,0.03538851,0.229015908,0.198068151,3023,"tags=23%, list=18%, signal=20%",1991/566/10273/1032/3815/572/8826/5573/701/10059/57679/6868/10527/51719/7057/55294/5525/64223/7148/3265/9928/27250/23394/3315/6224/4616/10983/1062/1654/8835/5788/10451/27013/3843/9349/9529/55233/6885/3156/8945/84166/114882/3320/51347/5588/7422/5577/10006/1027/441272/6188/140609/54619/10210/10728/1029/55437/6176/442572/3717/91947/5478/54984/9693/29108/5291/57515/57561/5073/6654/23533/8754/5925/79817/4067/6209/5347/6125/902/5604/6091/26228/3690/6135/23411/58533/51637/51763/9134/5787/324/991/84101/1739/80829/81532/10961/55704/100287171/4739/10399/7532/1022/808/5576/5934/10459/6647/5903/26973/253260/2185/10899/10019/57826/2180/64853/152559/8649/10040/27338/29085/65057/7048/93650/1499/133619/79706/171392/55697/177/5985/5305/90441/6556/1154/5747/84221/83707/904/5062/2261/11315/122809/51429/4683/3087/8658/1894/63922/10519/4216/10252/4057/8525/5058/868/441273/84062/6259/2209/9088/143384/3326/124997/2146/4485/150/3643/900/7157/442590/3150
BP,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",12,0.594484915,1.660482465,0.035611296,0.230264489,0.199148006,3532,"tags=58%, list=21%, signal=46%",7381/27089/1537/7386/29796/440567/54205
BP,GO:0016197,endosomal transport,231,0.237507047,1.241622881,0.035656556,0.230364047,0.19923411,3909,"tags=34%, list=23%, signal=26%",9648/57679/8878/8027/387680/83547/128866/23325/6272/8546/2060/11267/55004/23023/57589/9043/253725/23258/64601/27243/10254/7813/84079/51542/22836/9765/374666/51028/2647/100307126/9525/91782/58533/8411/55773/5870/653440/51552/8301/100287171/80700/9907/284697/29886/382/9559/51271/9581/55111/29934/22876/55353/51429/9527/28952/8218/51534/54918/55737/23527/7874/55207/50618/143187/200576/7879/5872/51160/5987/137492/25963/9784/79643/8723/55610/79778/57533/57132
BP,GO:0046033,AMP metabolic process,21,0.483354542,1.6169978,0.035775675,0.230529673,0.199377355,3145,"tags=48%, list=19%, signal=39%",5471/159/5634/471/205/353/318/2618/50808/3251
CC,GO:0005682,U5 snRNP,18,0.505334505,1.602833105,0.035730236,0.230529673,0.199377355,1856,"tags=33%, list=11%, signal=30%",6636/6632/10907/6633/6635/6628
BP,GO:0032780,negative regulation of ATP-dependent activity,16,0.51915238,1.58921091,0.03580173,0.230529673,0.199377355,3254,"tags=50%, list=19%, signal=40%",93974/23411/401152/4057/7137/7157/10105/79609
BP,GO:0045006,DNA deamination,12,-0.627839376,-1.578208521,0.035785316,0.230529673,0.199377355,964,"tags=33%, list=6%, signal=31%",81602/51010/164668/140564
MF,GO:0005267,potassium channel activity,58,-0.387611185,-1.415612836,0.035862069,0.230725605,0.199546809,3890,"tags=31%, list=23%, signal=24%",27012/3785/9132/3767/27133/169522/3745/3748/55151/56479/3784/81033/89822/27345/10060/2900/3765/2897
MF,GO:0004197,cysteine-type endopeptidase activity,84,0.300646791,1.378306407,0.036144872,0.232351283,0.200952804,4183,"tags=38%, list=25%, signal=29%",23032/29843/8239/9100/57646/29108/29761/9101/84196/9986/55031/8287/10600/23358/7398/1520/9736/825/57337/55230/219333/1514/7874/9958/59343/23473/1509/26054/824/10892/841/25862
BP,GO:0045132,meiotic chromosome segregation,78,0.317498081,1.433038908,0.036205174,0.232351672,0.20095314,2404,"tags=27%, list=14%, signal=23%",701/201254/80010/10051/192670/9232/5885/7272/10735/7153/100130958/5347/130951/9319/9134/9126/126549/10097/699/10592/10274
BP,GO:0018394,peptidyl-lysine acetylation,178,0.249337914,1.271814911,0.036184195,0.232351672,0.20095314,3088,"tags=27%, list=18%, signal=22%",26155/7913/9188/339287/672/675/112869/6873/408/23137/3976/10856/6877/6885/26009/11143/9643/55929/9329/10269/26122/2647/51105/57609/26036/23411/8473/54107/83443/25942/28999/64769/80764/55904/10474/23741/86/1111/4800/11315/6418/10445/10933/10847/23451/10943/4801/29117
MF,GO:0043024,ribosomal small subunit binding,17,0.499087939,1.537799627,0.036362877,0.232782769,0.201325981,2566,"tags=47%, list=15%, signal=40%",10209/1654/7458/54505/219402/4830/6059/1975
BP,GO:1902807,negative regulation of cell cycle G1/S phase transition,67,0.33137437,1.459517926,0.036350576,0.232782769,0.201325981,3173,"tags=36%, list=19%, signal=29%",1032/79577/51322/51379/1027/90/5925/10217/7465/324/5591/1739/55367/5934/10385/79027/57165/8328/6154/2146/7157/29117/91607/10263
BP,GO:0035196,miRNA processing,48,0.357405866,1.456600522,0.036309937,0.232782769,0.201325981,3615,"tags=40%, list=21%, signal=31%",23405/79670/192670/1654/23318/23369/10269/5604/8575/79753/26523/389421/7157/5605/9612/6774/1655/5530/9611
BP,GO:0043254,regulation of protein-containing complex assembly,349,0.216523563,1.183724503,0.036396617,0.232805555,0.201345689,4148,"tags=34%, list=25%, signal=26%",10273/5781/10787/11151/9530/7037/27072/64223/9928/829/120/1654/10094/6249/147138/5962/253725/64601/3320/1859/7422/10142/84079/1027/9793/6188/140609/6047/7376/23355/9636/753/29108/81620/10565/5925/9168/22919/10552/830/134957/7114/29997/3958/93663/1739/5610/23116/10399/51451/253260/29766/2185/81873/64853/157922/5879/382/205251/29091/3303/2059/55604/3931/329/55364/5908/5756/23521/11315/51429/2241/4091/4690/5058/50807/81857/23406/96459/23191/7157/11076/85477/6904/55737/545/643338/8780/9659/25999/6403/4478/84250/54942/11124/55832/3054/9392/26054/80772/6850/51571/63908/56926/29098/948/2934/472/402/822/29765/9873/80115/56919/57731/1440/22924/6712
BP,GO:1902117,positive regulation of organelle assembly,74,0.322285179,1.441818969,0.036632464,0.233993628,0.202373213,3017,"tags=27%, list=18%, signal=22%",9738/9662/64112/10146/9908/6386/246175/22930/10733/10015/9525/6491/25782/55704/23019/989/5305/50807/153241/163786
MF,GO:0005261,cation channel activity,209,-0.294799417,-1.30799075,0.036643026,0.233993628,0.202373213,4685,"tags=33%, list=28%, signal=24%",786/2904/5027/27039/79041/523/25769/785/79054/84329/11280/93129/53373/27012/509/3785/6262/57468/2890/9132/79400/441168/1020/6334/8911/3767/22821/2906/27133/6329/6558/55107/777/140803/783/169522/3745/774/515/93589/3748/55800/55151/5026/1258/1137/1138/56479/3784/117532/81033/116443/123041/10343/9187/506/89822/3708/84876/782/27345/9254/10060/2900/3765/2897/117531/54714/6326
BP,GO:0070841,inclusion body assembly,22,0.453351868,1.534125378,0.036741804,0.234214502,0.202564239,3354,"tags=41%, list=20%, signal=33%",997/5705/4591/9529/26278/3300/3303/10049/55466
BP,GO:0050829,defense response to Gram-negative bacterium,41,0.393042073,1.533688292,0.03688603,0.234214502,0.202564239,2839,"tags=39%, list=17%, signal=33%",1991/566/1511/820/1669/358/29108/1668/140823/10133/6223/671/6037/6556/4057/79792
BP,GO:0033866,nucleoside bisphosphate biosynthetic process,55,0.346090638,1.472401032,0.036830965,0.234214502,0.202564239,3209,"tags=38%, list=19%, signal=31%",2182/47/5166/8050/23305/1737/5160/5165/2180/11332/51144/84532/2181/9524/9061/79646/23205/197322/60481/9060/5163
BP,GO:0034030,ribonucleoside bisphosphate biosynthetic process,55,0.346090638,1.472401032,0.036830965,0.234214502,0.202564239,3209,"tags=38%, list=19%, signal=31%",2182/47/5166/8050/23305/1737/5160/5165/2180/11332/51144/84532/2181/9524/9061/79646/23205/197322/60481/9060/5163
BP,GO:0034033,purine nucleoside bisphosphate biosynthetic process,55,0.346090638,1.472401032,0.036830965,0.234214502,0.202564239,3209,"tags=38%, list=19%, signal=31%",2182/47/5166/8050/23305/1737/5160/5165/2180/11332/51144/84532/2181/9524/9061/79646/23205/197322/60481/9060/5163
BP,GO:0042472,inner ear morphogenesis,53,-0.402954204,-1.448633053,0.036885246,0.234214502,0.202564239,4382,"tags=40%, list=26%, signal=29%",8820/80736/1280/57822/9935/9132/11078/2624/4647/5629/26018/1855/497189/3784/3249/1856/51168/25861/51057/6935/115908
CC,GO:0042470,melanosome,102,0.284148792,1.33455312,0.036920513,0.234214502,0.202564239,4134,"tags=39%, list=25%, signal=30%",813/7037/3688/821/5869/9601/7534/3320/4629/6510/84079/6386/10015/9554/3690/5868/10961/7531/191/5879/10981/6513/9145/1200/526/23385/304/84062/3326/10672/7879/84958/1509/55161/23682/822/54843/483/2040/2644
CC,GO:0048770,pigment granule,102,0.284148792,1.33455312,0.036920513,0.234214502,0.202564239,4134,"tags=39%, list=25%, signal=30%",813/7037/3688/821/5869/9601/7534/3320/4629/6510/84079/6386/10015/9554/3690/5868/10961/7531/191/5879/10981/6513/9145/1200/526/23385/304/84062/3326/10672/7879/84958/1509/55161/23682/822/54843/483/2040/2644
MF,GO:0008574,plus-end-directed microtubule motor activity,16,0.515251034,1.57726825,0.037001776,0.234344582,0.202676741,1740,"tags=38%, list=10%, signal=34%",3799/9928/9585/1062/55614/11127
BP,GO:0042255,ribosome assembly,58,0.336698856,1.444682863,0.03699687,0.234344582,0.202676741,2569,"tags=40%, list=15%, signal=34%",6193/1654/6234/6134/6232/55052/27341/130916/6175/3921/54505/6209/6125/51335/29997/6135/6169/5591/6223/6128/6152/6208/220717
CC,GO:0005652,nuclear lamina,11,0.603315752,1.619202389,0.037100977,0.234780093,0.2030534,2878,"tags=45%, list=17%, signal=38%",6839/4000/78994/4001/26502
BP,GO:1905897,regulation of response to endoplasmic reticulum stress,76,0.313060836,1.403275293,0.037402025,0.236491166,0.204533249,2903,"tags=29%, list=17%, signal=24%",5366/23376/10134/51035/10955/7376/51136/29761/23645/1649/4189/23411/598/10961/10399/3303/51060/11315/9451/4690/7494/10347
BP,GO:0032418,lysosome localization,73,0.318758429,1.420271244,0.037552221,0.23673026,0.204740034,2558,"tags=29%, list=15%, signal=25%",3815/3965/8773/401258/3799/55004/9043/7462/26001/4067/2647/94121/54664/54849/695/6845/81565/2623/6284/8832/2241
BP,GO:1990849,vacuolar localization,73,0.318758429,1.420271244,0.037552221,0.23673026,0.204740034,2558,"tags=29%, list=15%, signal=25%",3815/3965/8773/401258/3799/55004/9043/7462/26001/4067/2647/94121/54664/54849/695/6845/81565/2623/6284/8832/2241
BP,GO:0031398,positive regulation of protein ubiquitination,108,0.288674195,1.390061189,0.037562592,0.23673026,0.204740034,4428,"tags=41%, list=26%, signal=30%",10273/201254/672/55294/7337/25898/1654/8945/8841/10210/91947/8877/57561/5347/23640/64844/991/54602/27338/754/329/150684/868/553115/6502/23028/10075/83932/7334/59343/51343/254170/7335/139285/6500/284/10892/54838/5716/26191/51256/84930/29979/648
MF,GO:0008017,microtubule binding,243,0.231465316,1.227743644,0.037480229,0.23673026,0.204740034,2244,"tags=20%, list=13%, signal=17%",6280/6279/10059/147700/3796/27072/50810/8636/3799/8409/9928/9585/1062/23122/6249/10397/84376/9793/6188/374969/3835/9055/10128/55614/5347/22919/285331/9493/9217/84142/91978/27229/324/11127/23116/55704/283234/26153/10982/1063/23291/24137/81565/23172/10426/157922/2332/55342
BP,GO:0030218,erythrocyte differentiation,119,0.274368471,1.336207601,0.0377245,0.237556567,0.205454679,2543,"tags=27%, list=15%, signal=23%",2034/3091/3815/54977/84456/4602/6670/23376/222642/93974/51327/11143/7422/3717/9636/10661/6772/5925/4067/60682/5591/6223/29766/10019/2623/55904/8444/3303/6194/25893/6208/23210
MF,GO:0004467,long-chain fatty acid-CoA ligase activity,15,0.519161054,1.541445618,0.037908591,0.238521101,0.206288872,3713,"tags=47%, list=22%, signal=36%",2182/23305/2180/80221/2181/23205/11001
CC,GO:1904115,axon cytoplasm,57,0.345407976,1.470993924,0.037956048,0.238625066,0.206378788,2523,"tags=32%, list=15%, signal=27%",3091/51566/3799/8546/3315/66008/26258/26985/2647/10947/8120/11127/6647/23291/24137/81565/79882/80128
MF,GO:0140359,ABC-type transporter activity,44,-0.438475665,-1.513996555,0.038001815,0.238718243,0.206459373,3548,"tags=41%, list=21%, signal=32%",85320/1244/10058/23456/5243/9429/340273/10057/21/10351/64240/10349/215/8647/24/23460/10060/6890
BP,GO:1903241,U2-type prespliceosome assembly,24,0.448045709,1.528609129,0.038086017,0.239052508,0.206748468,1959,"tags=38%, list=12%, signal=33%",6636/6632/6627/10992/6633/6635/6628/79753/83443
BP,GO:0043628,small regulatory ncRNA 3'-end processing,19,0.480938329,1.562346601,0.038131082,0.239140788,0.206824818,3658,"tags=63%, list=22%, signal=49%",56915/79033/2091/5073/6227/112479/54512/90459/23016/11340/51574/5393
MF,GO:0003682,chromatin binding,508,0.203072863,1.173128266,0.038318891,0.240123415,0.207674659,3663,"tags=28%, list=22%, signal=22%",4353/122953/6742/56916/51316/26155/7150/339287/84456/57713/54623/6670/10051/8409/3009/4591/3008/3007/23394/6873/5885/3006/11198/8971/1105/29028/10856/983/6839/9425/10735/5978/51322/8841/7153/56254/6595/55206/7702/50809/6047/7290/7376/55818/54454/81620/10389/4841/2353/6772/7403/2852/57343/64318/23411/7936/64376/8473/9126/23512/54107/4436/56981/5934/10721/10951/1063/2067/2956/25942/6599/2623/55506/10473/80335/6602/2332/5431/1059/57727/468/79576/1499/10592/10036/22823/6015/10463/10038/6597/5422/86/10274/158880/57597/7175/79809/904/6418/1108/4928/84733/4091/55170/27043/10933/221656/201973/79892/7343/2146/23028/4205/7157/3150/25836/1460/9612/6045/80173/4790/27316/57585/10360/6665/10370/6774/6777/54441/1655/8726/2551/4998/221037/57492/6594/3054/51564/3192/11169/4676
BP,GO:0072599,establishment of protein localization to endoplasmic reticulum,41,0.390895093,1.525310568,0.03843367,0.240647186,0.208127651,3221,"tags=44%, list=19%, signal=36%",128866/6029/23480/29927/22930/6730/130617/25782/90637/378707/8266/60559/6731/7095/11231/10952/23471/9789
BP,GO:0006959,humoral immune response,134,0.268372478,1.3269801,0.038502243,0.240881022,0.208329888,1825,"tags=18%, list=11%, signal=16%",6280/1991/566/4179/1511/820/1675/1669/5657/5788/2197/3075/6480/3105/1668/5699/8343/966/4239/3576/140823/6170/6223/2219
BP,GO:1902275,regulation of chromatin organization,40,0.371346103,1.451209076,0.038682773,0.241081136,0.20850296,3045,"tags=28%, list=18%, signal=23%",9874/84456/11011/11177/54784/57343/9646/25942/7175/23028/55196
BP,GO:0009066,aspartate family amino acid metabolic process,40,0.370969259,1.449736381,0.038682773,0.241081136,0.20850296,3994,"tags=45%, list=24%, signal=34%",55256/159/5352/10165/56954/2806/26227/4548/58478/468/4552/23464/89874/10157/4482/60496/80150/8604
BP,GO:0007266,Rho protein signal transduction,116,-0.334085829,-1.370576286,0.038610039,0.241081136,0.20850296,4713,"tags=42%, list=28%, signal=31%",348/54869/29127/9750/604/2768/9411/9181/23580/25/64787/58480/185/10256/2909/396/83892/653160/3675/1072/5159/388/57493/55333/90627/4983/286205/9290/7126/2828/9138/2841/143872/2151/1902/5923/11214/23189/9754/5924/30851/157285/64283/335/10161/9620/10602/347273/392
BP,GO:0033865,nucleoside bisphosphate metabolic process,102,0.282421371,1.326439993,0.038846753,0.241081136,0.20850296,3226,"tags=35%, list=19%, signal=29%",2182/47/254552/8801/10654/84188/5166/3156/8050/8802/23305/1737/64087/8803/6817/5160/5165/2180/11332/51144/84532/80221/2181/54995/9524/10005/4597/8694/9061/79646/23205/197322/60481/9060/5163/10157
BP,GO:0033875,ribonucleoside bisphosphate metabolic process,102,0.282421371,1.326439993,0.038846753,0.241081136,0.20850296,3226,"tags=35%, list=19%, signal=29%",2182/47/254552/8801/10654/84188/5166/3156/8050/8802/23305/1737/64087/8803/6817/5160/5165/2180/11332/51144/84532/80221/2181/54995/9524/10005/4597/8694/9061/79646/23205/197322/60481/9060/5163/10157
BP,GO:0034032,purine nucleoside bisphosphate metabolic process,102,0.282421371,1.326439993,0.038846753,0.241081136,0.20850296,3226,"tags=35%, list=19%, signal=29%",2182/47/254552/8801/10654/84188/5166/3156/8050/8802/23305/1737/64087/8803/6817/5160/5165/2180/11332/51144/84532/80221/2181/54995/9524/10005/4597/8694/9061/79646/23205/197322/60481/9060/5163/10157
MF,GO:0015267,channel activity,285,-0.284687895,-1.298930975,0.038827485,0.241081136,0.20850296,3769,"tags=27%, list=22%, signal=21%",509/1187/6509/3785/6262/57468/2890/9132/79400/441168/1020/6334/8911/3767/22821/2906/27133/6329/364/6558/55107/89872/5551/777/83862/1193/7419/140803/783/169522/3745/774/515/93589/3748/55800/55151/5026/80727/116369/1258/1137/1138/25932/1188/266675/56479/2570/3784/117532/81033/116443/123041/10343/9187/203859/1185/506/56262/89822/3708/84876/782/27345/9254/10060/2900/362/3765/23507/57030/2897/117531/54714/6326/8542
MF,GO:0022803,passive transmembrane transporter activity,285,-0.284687895,-1.298930975,0.038827485,0.241081136,0.20850296,3769,"tags=27%, list=22%, signal=21%",509/1187/6509/3785/6262/57468/2890/9132/79400/441168/1020/6334/8911/3767/22821/2906/27133/6329/364/6558/55107/89872/5551/777/83862/1193/7419/140803/783/169522/3745/774/515/93589/3748/55800/55151/5026/80727/116369/1258/1137/1138/25932/1188/266675/56479/2570/3784/117532/81033/116443/123041/10343/9187/203859/1185/506/56262/89822/3708/84876/782/27345/9254/10060/2900/362/3765/23507/57030/2897/117531/54714/6326/8542
BP,GO:0050900,leukocyte migration,265,0.225334771,1.198061983,0.038768983,0.241081136,0.20850296,1790,"tags=17%, list=11%, signal=15%",6280/1991/566/6279/3815/3965/10059/6868/1441/11151/6093/7057/3688/1511/7852/199/3676/23075/5657/7409/81704/375056/10451/1240/148823/7422/11240/5478/29108/7525/811/6654/1265/4067/3683/4681/26228/3690/3958/3576/64005/6223/102/2683
BP,GO:0009410,response to xenobiotic stimulus,293,0.220476646,1.181983157,0.03863619,0.241081136,0.20850296,2567,"tags=20%, list=15%, signal=17%",4025/572/2354/10257/6868/7150/7037/1869/1535/7057/5066/7852/4659/7409/9446/1645/10587/1429/10451/2987/983/5978/2026/7508/3320/1027/6198/873/811/2353/1728/6772/5925/4067/23492/4255/3690/6730/6817/8443/55031/5378/5139/706/1063/6647/2185/1536/2180/2022/7048/1499/30/9943/1548/123/2729/904/2016
BP,GO:0046339,diacylglycerol metabolic process,19,-0.554546958,-1.556411834,0.038880249,0.241095048,0.208514992,1195,"tags=21%, list=7%, signal=20%",9162/84649/8526/1608
BP,GO:0009887,animal organ morphogenesis,665,-0.254707,-1.22257924,0.038934426,0.241237079,0.20863783,4791,"tags=33%, list=28%, signal=24%",3339/2131/147495/7763/50939/23314/3373/25937/26585/3398/5027/2734/333/23418/1290/649/91156/55252/6722/4824/7067/4041/8820/6778/8321/4853/6382/2201/182/80736/9775/6497/25945/55184/128272/1280/27173/57822/57154/3725/4781/25/6474/9510/10454/8879/359845/79363/9935/639/3655/120114/79864/2313/10220/673/5728/1874/6714/65009/9420/1901/6262/8412/9500/1305/104/64399/54829/2176/64750/10319/9132/11078/5080/54567/6659/64478/5159/3065/84628/388585/2033/2624/4194/2494/7703/4919/7070/23287/7273/1270/348093/51513/7287/4313/23424/57493/79191/2780/89958/22882/54206/9095/1522/5595/4647/10413/55870/10265/56917/24147/8692/158326/4915/92/50937/5314/84678/23768/5361/4092/5629/4522/26018/84314/1855/4146/2650/497189/388389/79925/2247/780/80004/129880/80144/9249/4211/1955/55897/265/5318/1948/57556/10409/51053/282996/23322/22881/4846/26160/128637/2050/6439/4212/947/3784/3249/342184/1856/7855/51684/221496/26249/57453/51168/5054/5324/5156/1406/3205/374/123041/5797/51741/81839/4920/54757/5048/221935/25861/7399/5465/9245/2069/4036/120892/55083/55036/51057/60412/3082/7468/860/5727/6935/5447/80199/1951/57216/8842/362/9620/4088/3912/10116/28982/115908/3908/3280/55727/3913/4638/94/54549/84133
CC,GO:0016234,inclusion body,68,0.327889739,1.460387257,0.039015384,0.241544679,0.208903863,3018,"tags=32%, list=18%, signal=27%",10273/5705/8878/57713/4591/2060/9529/5588/55437/23390/22803/9972/8301/5903/56852/3303/468/7175/4683/4928/3326/7541
BP,GO:0006509,membrane protein ectodomain proteolysis,37,0.391180758,1.498009455,0.039147287,0.242166935,0.209442031,3451,"tags=38%, list=20%, signal=30%",6868/4898/6093/5657/5588/7133/8754/102/51429/23385/7078/150/27316/84888
MF,GO:0008047,enzyme activator activity,472,0.206693068,1.177672956,0.03935009,0.243226435,0.210358357,2166,"tags=19%, list=13%, signal=17%",9135/9459/572/8826/9535/2764/57223/5902/10059/57679/10484/9882/5721/51719/10788/65979/64926/55294/5525/64223/51520/11047/408/550/1654/116988/10451/5981/64333/55671/55233/663/8945/23365/7813/10006/84079/23786/5660/55437/6176/2073/374969/9693/9329/29108/51306/22930/8601/6654/23637/79817/23645/395/9815/134957/5604/57584/26228/51582/6102/93663/60682/9712/991/2778/55635/25782/23512/25771/81532/5922/10399/695/808/8575/54344/253959/5903/57599/727851/253260/23526/9994/9824/8649/10040/29
BP,GO:0046822,regulation of nucleocytoplasmic transport,100,0.284163271,1.320359682,0.039388003,0.243265858,0.210392452,2869,"tags=30%, list=17%, signal=25%",10541/7514/5781/127933/4659/51569/51496/3843/983/26993/3320/8841/55929/51715/51366/3717/5501/4734/9972/54888/29072/7531/9818/57187/7175/11315/1894/3429/3728/3326
CC,GO:0005797,Golgi medial cisterna,11,0.600800091,1.61245076,0.039507504,0.243754591,0.210815141,5424,"tags=82%, list=32%, signal=55%",4124/6480/3105/126792/9527/6482/84068/54432/9528
BP,GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,15,0.518036977,1.538108113,0.039530334,0.243754591,0.210815141,2881,"tags=47%, list=17%, signal=39%",128866/23480/29927/8266/7095/11231/10952
BP,GO:0009124,nucleoside monophosphate biosynthetic process,37,0.390734868,1.496301937,0.039645971,0.244272383,0.211262962,2535,"tags=32%, list=15%, signal=28%",5471/159/5634/471/7083/353/54963/318/3614/1633/2618/1635
BP,GO:0031998,regulation of fatty acid beta-oxidation,16,-0.562726341,-1.510131416,0.039808917,0.244885157,0.21179293,1723,"tags=38%, list=10%, signal=34%",8660/215/5465/8647/3667/1374
BP,GO:0006691,leukotriene metabolic process,25,-0.492063178,-1.491174535,0.039777649,0.244885157,0.21179293,4465,"tags=48%, list=27%, signal=35%",7097/8529/2687/1579/4048/2678/239/4051/4258/241/22949/240
BP,GO:0010811,positive regulation of cell-substrate adhesion,98,-0.352458805,-1.418657664,0.039845758,0.244916478,0.211820018,4202,"tags=38%, list=25%, signal=28%",25/7448/27185/5581/1021/8631/673/57580/3675/5881/11078/9806/7070/1785/6239/1307/59339/5034/7402/54453/1842/342184/25890/2199/11117/55612/151887/6385/916/335/5795/10675/4088/2335/3678/5155/5590
MF,GO:0005161,platelet-derived growth factor receptor binding,12,-0.602987485,-1.51573798,0.039936102,0.245276348,0.212131257,1351,"tags=42%, list=8%, signal=38%",3554/5156/5795/3678/5155
