Geneid	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
TRIM52-AS1	15	39	42	35	37	17	22	28
MAST4-AS1	33	37	42	43	44	38	40	30
CHD1-DT	6	17	27	14	45	11	12	30
NPY6R	0	7	8	5	2	3	6	2
SMIM15-AS1	5	14	11	6	18	15	6	11
LINC00461	0	0	0	0	0	1	0	0
PURPL	16	26	23	26	52	31	56	64
EPB41L4A-AS1	128	193	341	306	310	298	255	380
HEIH	171	227	370	372	150	166	115	236
LINC02217	0	0	2	1	0	1	0	0
CKMT2-AS1	58	32	55	55	145	134	146	175
MARCHF11-AS1	0	0	0	0	0	0	0	0
PDCD6-DT	0	2	2	3	1	2	2	2
GUSBP1	25	36	76	48	126	102	89	141
TMEM161B-DT	123	136	214	285	234	143	213	214
LINC02199	0	0	2	0	0	1	0	0
SPINK6	0	0	0	0	0	0	0	0
HMGN1P16	0	0	0	0	0	0	0	0
MARCOL	0	0	0	0	0	0	0	0
SPINK13	0	0	0	0	0	0	0	0
SPINK14	0	0	0	0	0	0	0	0
BCLAF1P1	1	0	0	0	0	1	0	0
TSLP	0	0	0	2	4	3	2	4
WDR36	40	33	79	61	132	87	163	161
RPS3AP21	11	4	10	5	3	7	1	4
GMDS	267	268	433	453	538	433	355	503
EXOC2	63	58	57	112	278	194	286	302
LINC01394	0	0	0	0	2	0	0	0
FOXF2-DT	0	0	0	0	0	0	0	0
HMGN2P28	3	2	0	3	2	0	1	4
IRF4	0	0	0	0	0	3	1	7
FAM50B	229	152	302	302	391	247	277	327
EEF1E1	44	15	40	50	34	42	38	41
CICP18	3	1	2	0	0	0	0	0
BLOC1S5	35	24	56	69	129	109	118	145
LINC01108	2	0	0	0	0	2	0	2
RPL5P20	0	0	0	0	0	0	0	0
ARPC3P5	1	1	3	3	4	2	6	2
OFCC1	0	2	0	1	2	2	0	0
ASS1P1	18	0	3	1	1	9	0	2
TMEM170B	32	5	16	21	35	35	51	43
NBAT1	0	0	0	0	2	0	0	0
LNC-LBCS	0	0	2	1	0	3	1	0
PSMC1P11	0	0	0	0	0	0	0	0
LINC00581	0	0	0	0	0	0	0	0
JARID2-DT	0	0	3	8	6	4	2	2
EEF1E1-BLOC1S5	0	0	0	0	0	0	0	0
LINC02521	0	0	0	0	0	0	0	0
PPIAP29	1	2	2	5	34	5	14	6
MRPL42P2	0	0	0	0	0	0	0	0
LINC00518	0	0	0	0	0	0	0	0
KDM1B	41	35	24	42	151	98	179	182
ABT1	222	94	152	228	653	453	621	704
BLOC1S5-TXNDC5	0	0	0	0	0	0	0	0
SPTLC1P2	0	0	0	0	0	0	0	0
PIP5K1P1	0	0	0	0	1	0	0	1
BMP6	0	0	2	1	12	1	13	6
TXNDC5	46	27	26	35	187	151	233	242
ZNF322	12	16	20	17	55	26	44	55
ARMH2	0	0	0	0	0	0	0	0
VN1R13P	0	0	0	0	0	0	0	0
HDGFL1	0	0	0	0	0	0	0	0
MIR5689HG	0	0	0	0	0	0	0	0
PRELID1P2	0	0	0	0	0	0	0	0
FOXQ1	0	0	0	0	0	0	0	0
RNF182	0	1	3	3	7	1	3	2
RPP40	16	21	37	12	44	28	30	49
TDGF1P4	0	0	0	0	0	0	0	0
LINC02543	0	0	0	0	0	0	0	0
DEK	988	463	768	897	6650	3431	6833	6662
LINC00240	0	1	0	1	0	2	1	0
LINC00533	0	0	0	0	0	0	0	0
SCGN	0	2	2	0	2	0	0	0
MIR548A1HG	0	0	0	4	4	0	0	0
LINC01622	0	0	0	0	0	1	1	0
CARMIL1	75	38	47	71	281	182	233	246
OR2AD1P	0	0	0	0	0	0	0	0
STMND1	0	0	0	0	0	1	0	0
RPSAP2	0	1	0	0	0	0	0	0
THAP12P5	0	0	0	0	0	0	2	0
GUSBP2	0	3	0	3	8	4	5	6
RPL13P	0	0	0	0	0	0	0	0
CDYL-AS1	0	0	0	1	0	0	0	1
LYRM4-AS1	5	1	0	4	3	3	4	3
BTN2A1	231	180	270	385	956	679	626	861
OR2E1P	0	0	0	0	0	0	0	0
H2AC2P	3	0	0	0	0	0	0	0
HIVEP1	7	15	36	12	61	57	84	63
KATNBL1P5	0	0	0	0	0	0	0	0
VN1R12P	0	0	0	0	0	0	0	0
ZKSCAN3	48	38	41	50	204	116	237	183
KRT18P1	0	0	0	0	0	0	0	0
HLA-U	0	0	0	0	0	0	0	1
NOP56P1	1	3	5	8	8	4	3	3
H2BC2P	0	0	0	0	0	0	0	0
GFOD1	84	183	206	168	177	105	140	122
HLA-K	16	17	20	24	29	29	23	36
NRSN1	2	0	0	0	0	0	0	1
OR2U2P	0	0	0	0	0	0	0	0
LINC01623	0	0	0	2	0	0	0	0
JARID2	781	1116	1095	1268	3506	2151	2867	3190
ELOVL2	0	1	0	2	1	0	3	0
MRPL35P1	0	0	0	0	0	0	0	0
MTCO2P33	1	0	0	0	1	2	2	0
OR2J4P	0	0	0	0	0	0	0	0
POM121L6P	0	8	0	0	1	5	0	2
TRIM27	419	237	343	417	1404	1024	1223	1470
LY86-AS1	1	11	5	3	7	2	6	4
HNRNPA1P37	0	0	0	0	0	0	0	0
HCG4B	4	1	0	2	1	0	0	4
ZNF90P2	0	0	2	0	0	0	0	0
OR2P1P	0	0	0	0	0	0	1	0
MCCD1P1	0	0	1	2	0	0	0	1
ZBED9	0	0	0	0	1	6	0	0
EDN1	0	0	0	0	2	2	1	1
GPX5	0	0	0	0	2	0	0	0
SAR1AP1	0	0	0	0	0	0	0	0
E2F3-IT1	3	3	0	4	4	6	0	2
SMIM13	11	23	32	39	41	42	44	61
OR2B3	0	0	0	0	0	0	0	0
HCG9	3	1	6	1	0	2	2	6
MRPL48P1	0	0	0	0	0	0	0	0
RBM24	0	0	0	0	1	0	3	0
KRT18P38	0	0	0	0	0	0	0	0
MICD	1	7	5	7	8	7	7	7
DDX18P3	0	0	0	0	0	0	0	0
SSR1	236	105	217	202	822	570	1001	957
FOXF2	0	0	3	0	0	0	0	0
ZBED9-AS1	0	0	0	0	0	0	0	0
UQCRFS1P3	0	0	0	0	0	0	0	0
DDX39BP2	0	5	0	2	1	3	3	0
SOX4	6	15	25	18	33	36	34	44
LINC02533	0	1	0	0	0	2	0	1
OR2G1P	0	0	0	0	0	0	0	0
CDKAL1	84	32	45	74	251	191	290	292
LINC02522	0	0	0	0	0	0	0	0
DCDC2	0	0	0	4	0	2	0	0
ID4	0	0	0	1	0	0	0	0
HLA-A	295	351	580	583	480	439	332	548
BOLA2P3	0	0	0	0	0	0	0	0
KIF13A	130	151	212	285	651	363	626	680
HCG15	0	0	0	1	6	1	1	4
JARID2-AS1	0	4	10	6	4	6	6	3
TFAP2A-AS2	0	2	8	1	0	1	0	2
SYCP2L	16	19	6	17	21	16	24	27
IMPDH1P9	0	0	0	0	0	0	0	0
TPMT	217	66	114	153	663	520	667	764
MDH1P2	0	0	0	0	0	0	0	0
ELOVL2-AS1	0	0	0	0	0	0	0	0
HNRNPA1P58	0	0	0	0	0	0	0	0
CAGE1	1	1	8	1	0	3	1	8
MYLK4	4	3	2	1	10	6	5	10
LEMD2	160	225	242	268	507	376	416	480
FOXC1	0	0	0	0	0	0	0	0
MCCD1P2	0	7	1	3	0	0	0	6
PPIL1	632	832	1339	1270	999	870	717	1067
TFAP2A-AS1	0	0	0	0	0	0	0	0
ERVFRD-1	6	13	15	9	4	9	7	3
NHLRC1	9	4	17	15	28	15	29	34
CDYL	350	316	436	474	1350	900	1258	1424
SUMO2P12	0	0	0	0	0	0	0	0
MOCS1	0	0	0	0	1	0	0	2
COX11P1	0	0	0	0	0	0	0	0
UNC5CL	19	22	11	34	56	49	33	49
TSPO2	68	124	162	184	92	76	93	83
GRM4	5	6	1	8	2	5	4	1
MBOAT1	99	50	98	123	218	139	205	231
MYLIP	19	38	42	39	72	33	75	79
TRIM26	88	254	237	177	295	181	203	245
ZFAND3	47	44	72	95	240	182	203	213
LINC02829	6	3	6	19	41	18	32	42
AMD1P4	0	0	0	0	0	0	0	0
E2F4P1	0	0	0	0	0	0	0	0
TNXB	341	2590	1780	1784	404	264	276	298
TUBBP9	0	0	0	0	0	2	1	0
DNAH8	0	2	2	3	5	3	2	8
SMIM29	14	15	16	25	40	28	22	33
RIOK1	482	232	321	464	1653	1160	1586	1821
CPNE5	2	1	14	7	3	17	2	2
PI16	0	2	0	1	0	0	0	0
GLP1R	0	1	0	1	0	0	2	1
ITPR3	11	21	13	11	19	10	6	7
NEDD9	28	10	5	14	120	84	134	116
SRPK1	209	109	189	267	875	459	920	904
LINC01016	0	0	0	0	0	0	0	2
ABCC10	30	161	110	145	156	86	133	153
SLC26A8	5	1	8	3	6	6	10	4
WBP1LP12	0	0	0	0	0	0	0	0
RPS10-NUDT3	0	0	0	0	0	1	0	0
ANKRD18EP	0	0	0	2	3	3	3	1
RPL15P3	153	147	194	272	121	187	117	175
RAB44	36	57	53	62	34	30	22	19
KCTD20	295	213	288	460	1049	803	947	1090
DNAH8-AS1	0	0	0	0	0	0	0	0
MLN	0	0	0	0	0	0	0	0
ZNF318	108	105	128	167	683	399	704	678
NUP153-AS1	23	13	31	42	12	14	11	18
UQCC2	966	1090	1987	2081	1364	1411	1210	1704
HCG14	0	2	4	6	3	2	0	0
DAAM2	1	1	0	4	0	1	1	0
RBM22P4	0	0	0	0	0	0	2	0
SUPT3H	30	22	47	36	157	113	104	154
MMUT	226	76	210	231	703	525	717	901
TRAM2	31	42	50	46	69	78	83	115
SLC25A51P1	0	0	0	0	0	0	0	0
FTH1P5	0	0	0	1	2	0	1	0
STK38	290	538	663	696	976	638	816	963
TMEM217	13	0	2	7	8	4	3	10
BTBD9	14	29	29	36	62	35	39	31
GGNBP1	0	1	0	2	0	5	0	0
HSPE1P11	0	0	0	0	1	0	0	0
PGK2	0	0	0	0	0	0	0	0
ADH5P4	1	2	2	1	8	5	4	9
RBBP4P3	0	0	0	0	0	0	0	0
EEF1B2P5	0	0	0	0	0	0	0	0
CD83	31	22	39	49	144	84	142	192
CLPS	0	0	0	0	0	0	0	0
NANOGP3	0	0	0	0	1	0	0	0
RPL37P15	0	0	0	0	0	0	0	0
TBC1D22B	89	69	73	98	149	85	160	198
ELOVL5	481	162	233	383	1625	1234	1603	1779
KCNK5	114	237	238	195	322	255	267	318
TCTE1	0	0	0	3	0	1	0	0
HMGA1	1853	2714	2737	2821	5293	4045	4655	5651
DPRXP2	0	0	4	0	2	0	2	2
B3GNTL1P2	0	0	0	0	0	0	0	0
RNF8	1399	778	1175	1621	2380	1889	1970	2466
SREK1IP1P2	0	0	0	0	0	0	0	0
OR2U1P	0	0	0	0	0	0	0	0
NUDT19P4	0	0	0	0	0	0	0	0
CENPQ	143	41	98	112	674	377	627	674
RUNX2	8	7	2	7	9	10	15	11
IP6K3	0	0	0	0	0	2	0	0
CLPSL2	0	0	0	0	0	0	0	0
IRAK1BP1	19	28	39	59	72	64	69	100
NUFIP1P1	5	1	2	5	21	14	10	14
RBBP4P4	0	0	0	0	1	0	0	0
TCP11	0	0	0	0	0	0	0	0
TREML4	0	2	0	0	0	2	1	0
B3GAT2	0	1	1	0	1	1	1	2
DBIP1	0	0	0	0	0	0	0	0
SAYSD1	101	65	111	146	166	132	137	208
DLK2	4	38	27	27	16	14	16	11
CDC5L	720	331	555	772	2772	1783	2711	2925
TJAP1	338	598	598	497	1062	617	903	1087
CRISP2	0	0	0	0	1	0	0	2
ZNF451-AS1	19	16	20	24	12	22	14	26
LAP3P1	1	0	0	0	0	0	0	0
PKHD1	0	0	1	3	0	3	0	1
GCNT1P4	0	0	0	0	0	0	0	0
LGSN	0	0	0	2	0	0	0	0
LINC02540	0	0	0	0	0	0	0	0
SLC29A1	265	299	335	430	624	475	567	586
OR4F1P	0	0	0	0	0	0	0	0
SDHAF4	23	19	36	41	40	33	26	54
MLIP	1	6	1	0	1	0	0	0
RPS16P5	4	4	3	3	7	4	1	2
BTBD9-AS1	0	0	0	0	0	0	0	0
TRAM2-AS1	13	15	19	14	35	25	31	44
PHIP	145	174	229	370	789	473	762	636
SLC35B2	48	85	73	85	106	66	91	119
RPS6P7	0	0	0	0	0	0	0	0
CYB5R4	63	35	41	67	254	166	272	304
LINC01526	0	0	0	0	0	0	0	0
ME1	8	0	3	1	8	13	5	8
PRIM2	84	61	102	95	220	181	214	254
SPDEF	0	0	6	2	0	0	0	0
LRFN2	0	1	0	0	0	0	0	0
SLC25A20P1	0	0	0	0	0	0	0	0
POU3F2	0	0	0	0	2	1	3	0
CLPSL1	4	0	0	0	0	0	0	0
ADCY10P1	4	10	6	35	54	26	45	63
FGD2	6	11	14	7	10	17	10	13
PIM1	923	1581	2271	2229	2147	1650	1639	2093
TREML5P	0	0	0	0	0	0	0	0
LYRM2	115	145	224	261	379	276	345	430
MRAP2	3	3	16	15	50	25	21	50
PGM3	53	24	46	59	223	150	171	189
ZNF451	231	328	460	566	1527	886	1557	1569
NDUFA5P9	0	0	0	0	0	0	0	0
LINC00680	107	96	141	163	267	251	262	311
GSTA12P	0	0	0	0	0	0	0	0
RPS10	0	4	11	3	10	11	6	9
GUSBP4	0	0	0	0	0	4	1	3
GSTA7P	0	0	0	0	0	0	0	0
NPM1P38	0	0	0	1	0	0	1	0
PRDM1	8	7	6	3	4	3	9	19
NUDT3	113	88	127	107	208	176	205	237
RUNX2-AS1	0	0	3	0	0	0	0	0
PAQR8	3	4	4	8	6	16	8	5
LINCMD1	0	0	0	0	0	0	0	0
GLYATL3	0	0	0	3	2	0	0	0
TDRG1	1	0	0	2	1	0	0	0
CD109	1	10	5	6	41	27	37	52
CEP162	280	108	197	296	856	590	868	867
LINC01611	0	0	0	0	0	0	0	0
SPATS1	0	0	2	0	0	0	0	1
IFITM3P3	1	2	0	0	0	3	5	4
KIF6	0	3	0	1	4	9	3	1
PACSIN1	2	12	4	0	14	13	10	12
SRSF3	2473	1202	2092	2871	5704	4135	4680	5845
FILIP1	5	0	0	0	0	1	0	0
GPR63	0	0	2	1	5	3	6	7
RPL35P3	0	1	0	2	2	2	0	0
RPL35P2	0	0	0	0	0	1	0	0
PRDX2P4	0	0	0	0	0	0	0	0
TMEM14A	34	16	20	22	77	67	67	97
NPM1P37	0	0	0	1	2	7	2	4
TREM1	2	1	0	2	1	0	0	2
BACH2	0	7	1	5	9	3	8	2
CYP39A1	0	0	0	0	0	0	0	0
SUMO2P8	0	1	1	1	1	4	2	0
LCAL1	0	0	0	0	1	1	0	0
HMGB1P20	0	3	4	1	1	1	0	0
LINC02549	0	0	0	0	0	1	0	0
MDN1	1583	3107	2863	3548	10041	6047	9888	9721
IBTK	142	111	180	186	445	268	412	469
MTHFD2P3	0	0	0	0	1	0	0	0
AARS2	288	520	564	574	702	473	526	756
GAPDHP63	0	1	0	2	0	0	0	1
RWDD2A	15	8	7	26	63	45	48	58
TPI1P3	0	1	2	0	1	0	0	0
LAMA4-AS1	0	0	0	0	0	0	0	0
BRD7P4	0	0	0	0	0	0	1	0
TXNP7	0	0	0	0	0	0	0	0
MCHR2-AS1	0	0	0	0	0	0	0	0
SEC63	923	593	914	1200	3916	2370	3291	3887
ZNF292	50	56	61	90	469	307	524	398
CD24	17	7	21	5	3	5	6	7
EEF1GP6	0	0	0	0	0	0	0	0
CASC6	0	0	0	0	0	0	0	0
GAPDHP41	0	0	0	0	0	0	0	0
EIF4EBP2P3	0	0	0	0	0	0	0	0
KPNA5	19	18	21	25	63	34	51	53
RPSAP44	0	0	3	0	0	0	0	0
CD164	473	260	420	548	1457	1111	1566	1780
TUBB3P1	0	0	0	0	0	0	0	0
RCN1P1	0	0	0	0	0	0	0	0
CEP85L	6	3	6	16	58	11	52	33
CD2AP-DT	18	27	33	20	9	7	6	10
NEPNP	0	1	1	1	5	2	4	2
SMARCE1P2	0	0	0	0	1	0	0	0
LINC00222	0	0	0	0	5	0	0	3
ENPP5	2	0	0	0	6	7	4	2
GSTA2	0	0	0	0	0	0	0	0
MCHR2	0	0	0	0	1	0	0	0
MAP3K7	77	45	96	126	517	326	484	506
BDH2P1	0	0	0	0	0	0	2	1
LCA5	23	11	9	19	114	57	148	119
GAPDHP42	0	1	0	5	2	5	0	0
HSP90AB1	37141	21413	27021	35965	123576	82368	105154	125225
PRELID1P1	0	0	0	1	0	0	0	0
RPL3P7	17	22	44	19	20	13	6	19
CYP2AC1P	0	0	0	1	0	0	0	0
HMGB3P18	0	0	0	0	0	0	0	0
LIN28B-AS1	1	0	0	1	0	2	0	0
DHFRP5	0	0	0	0	0	0	0	0
MFSD4B	68	101	83	112	161	129	144	178
TSPYL4	20	63	70	70	254	122	216	195
GFRAL	0	0	0	0	0	1	1	0
COX6A1P2	0	4	6	3	6	8	7	1
SOCS5P5	0	0	0	0	0	0	1	0
LRRC1	0	1	2	4	3	4	0	7
RPL23AP50	0	0	0	0	0	0	0	0
TFAP2B	0	0	1	0	0	2	0	1
PTCHD3P3	0	0	0	0	0	0	0	0
CBX3P9	20	29	57	64	131	66	94	110
LINC02518	0	0	0	0	0	0	0	0
COL19A1	0	4	2	0	1	3	3	0
RPL7AP34	0	0	0	0	0	0	0	0
GSTA8P	0	0	0	0	0	0	0	0
RPL31P28	0	0	0	0	0	0	0	0
LINC02857	0	0	2	0	0	0	0	0
NCOA7	47	29	61	84	196	143	266	255
RPL21P67	0	0	0	0	0	1	0	0
MTRES1	589	554	1122	1274	886	837	650	931
MYMX	0	0	0	0	0	0	0	0
ZPR1P1	2	1	0	3	1	0	2	2
PRSS35	0	0	0	0	0	0	0	1
KRASP1	0	0	0	0	0	0	0	0
TREML3P	0	0	1	0	0	0	0	1
CLVS2	0	1	0	0	1	0	1	0
BECN1P2	0	0	0	0	0	0	0	0
NFKBIE	70	88	109	140	130	107	115	182
TRDN	0	0	1	0	1	2	0	4
SMAP1	41	16	18	26	188	91	176	173
RPL5P19	0	0	0	0	0	0	0	0
RPS4XP9	0	0	0	0	0	0	0	0
ELOVL4	0	0	0	0	0	1	1	0
EEF1A1P36	0	0	0	0	1	0	4	0
VGLL2	0	0	0	0	0	0	0	0
GCLC	335	243	291	357	1150	729	1142	1127
BRD7P3	1	0	0	0	0	1	0	0
LHFPL5	8	2	11	5	16	6	23	39
SLC25A5P7	0	0	0	0	0	0	0	0
REV3L	24	24	18	38	284	131	263	227
GJA1	0	0	0	0	0	0	0	0
STX7	280	126	254	303	680	485	725	734
RPL35AP18	0	0	0	0	0	0	0	0
MTFR2	69	40	86	70	139	134	135	161
LINC02534	0	0	0	0	0	0	0	0
KRT18P22	0	0	2	0	0	0	0	0
ENPP4	5	7	18	21	80	42	68	100
NUS1	60	50	96	96	515	293	449	476
SENP6	751	524	928	1099	2799	2080	2627	3124
TRERF1	14	23	28	19	46	30	31	39
RPS17P5	0	0	0	0	1	0	1	1
SIM1-AS1	0	0	0	0	0	0	0	0
CD2AP	112	218	217	286	1055	464	1189	959
FBXL4	17	18	19	42	78	61	63	83
R3HDM2P2	0	0	0	0	0	0	0	0
UBE2J1	294	190	361	415	813	580	637	860
ARMC2	13	5	22	9	30	24	29	35
SCML4	2	0	0	0	0	0	0	0
CALHM5	1	0	0	3	5	0	0	1
ANKS1A	59	88	71	96	186	81	152	167
HACE1	9	6	11	35	72	36	58	71
NCOA7-AS1	4	0	0	0	1	0	1	0
LYPLA1P3	0	0	0	0	2	0	5	1
TENT5A	128	143	249	285	208	231	207	249
PA2G4P5	0	4	3	5	4	5	3	14
RAP1BP3	0	0	0	0	0	0	0	0
RPL23AP48	0	0	1	0	0	0	0	0
SLC25A6P6	0	0	0	0	0	0	0	0
FAM135A-AS1	2	0	0	0	0	0	0	0
BVES	0	0	0	0	0	0	0	0
RPL12P2	0	0	1	0	0	0	0	0
BTF3L4P3	1	0	0	0	0	0	0	5
FAM229B	1	10	20	20	12	25	12	16
SOGA3	1	0	0	0	0	0	2	0
FAM184A	55	31	35	102	270	202	319	319
LINC01556	5	0	1	0	1	0	0	0
LINC02865	0	0	0	0	0	0	0	0
VTA1	150	32	91	157	672	405	684	796
FCF1P10	0	0	0	0	0	0	0	0
LINC00951	0	0	0	0	0	0	0	0
NT5DC1	83	37	61	85	205	151	170	236
TPD52L1	5	2	4	1	2	5	3	12
TMEM151B	0	2	0	0	0	0	0	0
RPL32P15	0	0	0	0	0	0	0	0
RPL21P66	0	0	0	0	0	0	0	0
ADGRF1	3	0	0	0	0	0	0	1
TRMT11	31	20	37	65	204	146	175	194
KCNK17	0	0	2	4	2	4	2	1
VNN3	0	0	0	0	0	0	0	0
COL21A1	0	2	0	1	2	2	3	2
RPS27AP11	1	0	0	0	0	0	0	0
LINC02880	0	0	0	0	0	0	0	0
HBS1L	626	323	523	714	3219	2098	3108	3254
RPL31P33	0	0	0	0	0	0	0	0
LIN28B	2	4	8	13	44	23	88	51
KRT18P9	0	0	0	0	0	0	0	0
FABP7	0	0	0	0	0	0	0	0
HINT3	38	10	30	45	195	116	200	183
IL17F	0	0	0	0	0	0	0	0
HLFP1	0	0	0	0	0	0	0	0
YAP1P3	0	0	0	0	0	0	0	0
KRT18P50	0	0	0	0	0	0	0	0
ARL4AP5	2	0	4	2	1	2	0	2
EEF1A1P42	0	0	0	0	0	0	0	0
CALHM6-AS1	0	0	0	0	0	0	0	0
RRAGD	240	288	524	485	455	316	302	449
HLA-J	0	0	0	2	2	1	3	3
NDUFAB1P1	0	0	0	0	0	0	1	1
EPB41L2	337	348	390	430	1606	951	1681	1621
POM121L14P	0	0	0	0	0	1	0	0
PEX3	35	3	15	26	81	70	67	98
RPS18P9	5	6	4	12	11	3	14	10
HSF2	110	44	66	72	300	232	313	331
TINAG	0	0	0	0	0	0	0	0
HTR1E	0	0	0	0	0	0	0	1
TBX18	0	0	0	0	0	0	2	0
ABRACL	235	87	216	266	574	437	455	687
TREM2	2	1	11	3	1	0	2	0
HDAC2	4198	3337	5743	6821	8713	6858	4509	8745
LINC02836	0	0	0	0	0	0	0	1
LINC01277	0	1	0	3	0	0	0	1
BCLAF1	1129	795	1215	1541	4274	2563	4783	4527
NPM1P10	0	0	0	0	0	2	0	0
MCM3	7152	3762	6118	8271	15886	11288	11876	15651
VNN1	0	0	0	1	0	1	0	1
DAAM2-AS1	0	0	0	0	1	0	0	0
RPL7P28	0	0	0	0	0	0	0	0
GAPDHP73	0	0	0	0	0	0	0	0
ADGRG6	1	0	3	3	0	0	1	0
FUT9	0	1	1	0	1	3	0	0
HDDC2	749	443	809	1030	1612	1165	1273	1596
IL22RA2	0	0	0	0	0	0	0	0
NKAIN2	1	1	2	2	8	10	17	4
CALHM6	4	1	1	4	3	10	5	10
MRPL42P3	0	0	0	0	0	0	0	0
TMEM244	2	0	0	0	0	0	0	0
DHFRP6	0	0	0	0	0	0	0	0
TARID	0	0	2	0	2	0	0	4
BMP5	0	0	0	0	0	0	0	0
FAM136FP	0	0	0	0	0	0	0	0
FAM83B	0	0	0	0	0	0	0	0
SNRPC	1898	1446	2509	3122	3854	3422	3443	5243
FCF1P5	0	0	0	0	2	3	0	0
RAB32	118	91	158	160	134	133	99	160
COL10A1	0	0	2	0	0	2	4	1
TRAF3IP2	113	68	65	111	148	143	163	167
MOXD1	0	0	0	2	0	1	0	1
ASCC3	115	112	187	228	640	411	727	661
PPP1R14C	0	0	0	0	1	0	2	0
FNDC1-IT1	0	0	0	0	0	0	0	0
TUBB4BP7	0	1	0	0	0	0	0	0
EYS	4	1	1	1	2	2	4	8
HMGA1P7	0	0	0	0	1	0	0	0
RPSAP42	0	0	0	0	0	0	0	0
RFPL4B	0	0	0	0	0	0	0	0
RPS3AP23	0	0	0	0	1	1	0	0
EFHC1	34	34	34	40	100	58	65	108
MED23	50	66	79	122	292	151	362	338
SNX3	2167	646	1110	1692	6038	3633	4782	5624
LINC02840	0	2	0	1	0	0	0	0
TBC1D32	8	1	3	6	46	30	49	51
RPA3P2	0	0	0	0	0	0	0	0
TAAR6	0	0	0	0	0	0	0	0
LINC02541	0	0	0	0	1	2	0	0
LINC02523	0	0	0	0	0	0	0	0
FKBP1C	4	1	1	1	3	2	3	4
WAKMAR2	4	10	0	3	6	5	6	8
PLN	0	0	0	2	0	1	0	0
PKIB	3	0	3	6	11	14	18	13
MAN1A1	104	87	129	159	430	230	417	392
FTH1P26	0	0	0	0	0	0	0	0
FABP12P1	0	0	0	0	1	0	0	0
GOPC	79	50	78	70	169	133	187	179
CDK19	37	69	90	69	161	109	142	176
MAP3K4-AS1	1	1	1	0	2	1	4	0
FILNC1	0	0	0	0	0	1	0	0
LMBRD1	88	26	38	96	324	200	302	314
MARCKS	8	2	14	8	24	14	21	18
SMPDL3A	3	0	0	2	2	3	0	1
NDUFS5P1	0	0	0	0	0	0	0	0
HECA	49	30	81	85	91	45	73	99
PPP1R14BP5	0	0	0	0	0	0	0	0
NPM1P36	0	0	0	0	0	0	0	0
NACAP7	0	0	0	0	0	0	0	0
TAB2	137	95	180	222	456	314	461	509
TRAPPC3L	4	0	0	4	0	1	0	1
OSTCP1	0	0	0	0	0	0	0	0
RSPH4A	1	7	4	23	15	4	17	7
SLC18B1	31	17	40	34	65	45	78	96
PM20D2	37	27	35	61	217	137	214	240
PNRC1-DT	0	0	1	0	0	0	0	0
RPL7P29	0	0	0	0	0	0	0	0
LINC00242	0	0	0	0	0	0	0	0
CYCSP55	0	1	0	0	0	1	1	0
TNFRSF21	13	0	2	2	21	18	34	28
ALDH8A1	0	2	1	0	3	1	0	5
STX11	5	4	2	2	33	25	27	32
RNGTT	45	29	49	49	139	84	128	130
MTCYBP36	0	0	0	0	0	0	0	0
OGFRL1	45	42	79	83	171	98	168	197
RPL32P16	0	2	0	1	3	0	0	0
BTF3P10	1	0	0	0	2	0	0	1
KRT19P1	0	0	0	0	0	0	0	0
MEMO1P2	0	0	0	0	0	0	0	0
MTCO3P31	0	0	0	0	0	0	0	0
SPTLC1P3	0	0	0	0	0	0	0	0
RPS6KA2	0	6	9	6	19	5	22	12
HEY2	15	11	12	15	10	7	10	19
ATP5MGP2	0	0	0	2	0	0	0	3
OARD1	466	527	825	954	1034	870	948	1166
PLEKHG1	7	5	12	11	22	8	21	15
RPL23AP47	0	0	0	0	0	0	0	0
TAAR2	0	0	0	0	0	0	0	0
NDUFAF4	122	90	164	154	180	173	130	220
ADAT2	105	42	86	131	295	214	251	355
PDCL3P5	0	0	0	0	0	2	1	1
POPDC3	0	0	0	0	1	0	0	0
MTATP6P25	0	0	0	0	0	0	1	0
VDAC1P8	6	5	9	6	32	23	20	31
RPL12P23	0	0	0	0	0	0	0	0
TREML2	419	297	440	531	1107	742	791	998
DSE	9	8	18	20	30	25	24	29
PHBP1	0	0	0	0	0	0	0	0
ANKRD6	7	10	3	10	21	18	9	18
PDSS2	30	19	41	39	98	80	92	125
KLHL31	0	0	2	4	2	2	3	2
TBX18-AS1	0	0	0	0	0	0	0	0
TMEM242	207	186	233	269	277	242	220	325
ACTG1P9	0	0	0	0	0	0	0	1
RPS29P32	0	0	0	0	0	0	0	0
IL17A	0	0	0	0	0	0	0	0
ATG5	175	58	212	202	481	333	431	540
HYMAI	0	1	1	0	1	0	1	1
TMEM242-DT	0	4	2	1	2	4	4	1
ATP5MFP2	4	3	4	4	3	9	7	8
RWDD1	616	459	987	1123	1320	1002	956	1264
TAAR3P	0	0	0	0	0	0	0	0
PPIL6	1	2	0	2	4	5	6	1
HIVEP2	41	76	118	132	235	179	231	290
MTHFD2P2	0	0	0	0	0	0	0	0
MLIP-AS1	0	1	0	0	0	0	0	0
DINOL	2	0	0	0	0	0	1	0
PERP	3	0	1	6	1	2	0	2
UST	0	2	1	0	2	3	1	1
GABRR1	0	0	0	0	1	1	0	0
ULBP3	0	0	0	0	0	0	0	0
MTND4LP19	0	0	0	0	0	0	0	0
LINC01625	6	0	0	1	2	6	4	6
