Gene	hs_proerythroblast_1	hs_proerythroblast_2	hs_proerythroblast_3	hs_early_basophilic_1	hs_early_basophilic_2	hs_early_basophilic_3	hs_late_basophilic_1	hs_late_basophilic_2	hs_late_basophilic_3	hs_polychromatic_1	hs_polychromatic_2	hs_polychromatic_3	hs_orthochromatic_1	hs_orthochromatic_2	hs_orthochromatic_3
C3P1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C3orf14	21	0	4	10	0	6	13	0	1	9	0	2	0	0	0
C3orf15	1	0	0	3	1	0	0	0	0	0	0	0	8	1	0
C3orf17	7126	1164	1529	7131	1182	1358	4951	991	992	3419	604	704	2392	476	628
C3orf18	125	9	9	106	13	13	130	17	5	286	9	44	434	4	6
C3orf19	3214	411	597	3650	537	560	3193	536	592	3869	607	765	3455	298	471
C3orf20	38	6	1	41	5	4	34	5	1	29	6	0	39	5	8
C3orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf23	2639	463	556	2364	364	446	1421	304	283	383	53	74	113	14	16
C3orf24	80	12	19	104	19	24	109	31	29	29	17	17	10	3	2
C3orf25	535	38	136	355	18	87	89	9	25	3	2	2	4	2	0
C3orf26	6740	999	1060	6485	906	1102	3360	670	729	807	96	147	313	30	39
C3orf27	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
C3orf30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf32	5	0	0	8	0	0	7	2	1	3	0	1	5	0	0
C3orf33	813	220	318	751	207	314	410	173	202	82	15	7	13	6	6
C3orf35	29	1	6	34	5	9	30	8	8	17	5	9	38	9	7
C3orf36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf37	10618	1409	1919	12000	1553	1921	10151	1580	1834	6469	867	1078	3366	259	397
C3orf38	4381	711	712	4900	776	850	3990	775	793	3056	541	697	923	156	216
C3orf39	13309	1382	1948	12777	1561	1787	8248	1309	1242	1358	280	318	186	37	57
C3orf43	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0
C3orf45	28	1	2	37	3	1	21	0	0	13	2	1	7	3	2
C3orf49	33	5	1	21	1	3	26	5	5	3	1	0	4	0	0
C3orf51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf52	58	5	5	55	6	5	14	4	4	9	0	1	14	0	0
C3orf55	6	3	0	2	1	1	0	0	0	0	0	0	0	1	0
C3orf58	2347	376	783	2503	432	914	3207	534	1630	9126	4947	5492	27449	6068	7695
C3orf62	1063	94	245	1195	101	249	1069	112	171	1593	414	455	1159	225	268
C3orf64	1330	174	201	1247	159	196	685	125	123	202	68	74	358	246	328
C3orf65	0	0	0	1	0	2	0	1	2	10	4	6	38	5	5
C3orf67	54	5	9	181	13	21	225	21	27	196	7	21	47	4	9
C3orf70	131	20	4	108	15	4	27	3	3	0	2	0	0	0	1
C3orf71	139	17	50	145	33	50	135	18	44	194	29	45	149	5	15
C3orf72	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0
C3orf74	2	1	0	4	0	0	2	0	2	7	0	0	0	0	0
C3orf75	4160	470	636	4233	490	632	3315	498	508	984	137	176	201	28	61
C3orf77	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C3orf78	959	101	133	596	82	96	295	36	53	31	0	3	124	2	8
C3orf79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf80	582	44	118	212	10	42	38	3	6	19	4	3	0	2	2
C4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf19	8	3	0	15	3	4	10	2	3	0	1	2	0	0	0
C4orf21	9324	1409	2136	13539	2568	2713	11452	3176	2771	3980	987	1036	143	91	81
C4orf22	0	0	0	1	0	0	6	0	0	1	1	0	0	0	0
C4orf26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C4orf27	4841	815	981	5747	881	982	3718	800	915	604	146	137	29	18	20
C4orf29	2692	313	566	3297	423	492	2433	430	429	1509	286	318	468	62	99
C4orf3	5828	1217	1333	5584	1249	1193	3672	1043	1048	2283	311	423	1606	176	209
C4orf32	1821	435	546	2000	524	580	1617	423	508	966	232	357	1201	156	155
C4orf33	1837	359	391	3307	470	536	4244	745	914	2014	529	646	131	43	90
C4orf34	73	9	11	35	8	6	23	3	2	81	10	7	351	13	10
C4orf36	52	5	9	23	6	11	9	4	4	4	0	2	70	8	11
C4orf37	4	0	0	8	0	0	0	2	0	1	0	0	1	0	1
C4orf38	24	2	3	22	3	5	28	7	5	1	0	0	0	0	0
C4orf39	6	1	0	2	0	0	5	1	0	0	0	0	0	0	0
C4orf40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf42	1220	122	218	1012	206	217	742	160	171	260	49	67	57	2	3
C4orf43	5174	1188	1038	4584	1200	946	2540	802	676	193	67	64	20	7	17
C4orf44	8	2	3	8	0	0	11	0	2	14	0	1	12	1	2
C4orf45	4	0	4	9	1	2	12	3	3	29	1	2	1	2	10
C4orf46	1524	322	230	2040	399	380	2299	605	620	1253	312	332	66	27	26
C4orf47	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
C4orf48	13	4	1	4	2	1	1	1	0	0	0	2	0	0	1
C4orf49	17	8	14	54	5	23	80	10	14	1	6	3	10	4	5
C4orf51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf52	2436	302	439	2300	277	412	1602	224	360	621	52	73	237	9	11
C4orf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	275	33	49	297	29	55	255	34	40	655	2849	1723	263	2785	3721
C5AR1	23	3	4	75	6	9	74	6	8	68	2	16	756	83	105
C5orf15	5780	1320	1752	5808	1418	1652	4613	1431	1416	2505	533	576	482	90	122
C5orf20	8	0	0	14	1	0	22	1	0	2	0	0	17	1	2
C5orf22	6312	1140	1255	7467	1302	1322	6490	1434	1251	8682	1961	2090	5404	679	873
C5orf24	9793	1901	2668	9775	2202	2680	6853	1982	2272	2414	564	627	373	66	100
C5orf25	386	21	22	177	11	10	29	5	4	9	0	0	0	1	0
C5orf27	0	0	0	5	2	0	0	0	0	0	2	2	54	10	0
C5orf28	1070	314	281	1277	353	324	1039	320	299	619	145	132	182	25	33
C5orf30	7617	1312	1665	9431	1547	1788	8742	1641	1835	6494	1402	2098	2678	654	842
C5orf34	711	172	91	916	179	140	1110	369	212	632	129	162	15	16	7
C5orf38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf39	228	20	70	239	24	45	191	18	27	151	20	16	53	4	4
C5orf4	15744	2010	2052	38281	3960	2969	67029	7764	6374	90549	13811	14283	40970	11517	15793
C5orf41	1203	162	264	1487	192	274	2357	357	404	10285	2593	3276	29167	5514	7355
C5orf42	2575	238	313	1789	233	214	1310	197	212	1184	493	392	114	131	163
C5orf43	9246	2149	2021	8527	1995	1891	5544	1555	1512	2538	481	630	528	79	89
C5orf44	3161	615	755	3950	660	794	2770	659	781	1219	202	285	433	59	99
C5orf45	720	92	126	542	83	138	242	53	68	24	7	8	461	58	93
C5orf46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf47	0	0	0	0	0	0	0	0	0	14	3	3	41	27	42
C5orf48	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
C5orf49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf51	10418	2491	2194	11570	2718	2472	9530	3008	2510	6005	1183	1438	3498	358	476
C5orf52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf54	381	79	58	467	80	47	405	83	55	147	28	25	6	8	6
C5orf55	151	23	18	122	24	26	94	29	24	102	16	26	64	1	8
C5orf56	344	31	48	335	36	59	368	36	46	427	52	72	224	22	47
C5orf58	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0
C5orf60	0	0	0	1	0	0	5	0	4	0	0	0	6	0	0
C5orf62	342	18	64	486	26	63	784	60	83	900	78	136	1665	47	76
C5orf63	317	61	104	421	77	110	293	78	112	158	28	85	90	7	9
C5orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf65	76	4	13	26	2	4	20	0	0	9	1	1	52	8	4
C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf1	720	75	109	700	63	90	582	97	85	427	36	93	945	64	123
C6orf10	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C6orf106	31565	3419	4814	40088	4128	5203	40729	4790	5815	48807	6945	8458	42327	4674	6313
C6orf108	5818	718	1019	4568	632	1027	2651	594	595	90	24	27	21	4	4
C6orf115	3198	525	559	2589	474	488	1266	345	329	68	36	17	42	5	11
C6orf118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf120	3983	786	874	5451	1052	1034	5170	1242	1114	6015	1149	1251	3350	485	633
C6orf123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf130	4901	850	871	6361	956	935	5766	974	865	3843	609	763	849	148	158
C6orf132	7	1	0	8	0	2	16	1	0	0	0	1	18	3	0
C6orf136	2616	265	597	2790	364	580	2178	361	513	1094	122	163	163	15	25
C6orf141	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C6orf147	42	4	3	21	1	3	8	1	0	0	0	0	0	0	0
C6orf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf162	1604	316	348	1884	317	366	1651	334	369	1400	203	245	93	10	18
C6orf163	91	15	43	128	25	36	68	27	13	94	23	12	9	1	5
C6orf164	20	2	6	35	8	16	22	10	10	13	3	4	1	0	5
C6orf165	0	0	0	13	2	0	1	1	0	10	4	0	2	1	4
C6orf170	994	186	180	1055	294	209	679	288	212	126	54	35	25	12	16
C6orf174	12	1	2	27	1	3	10	1	0	8	0	0	0	0	0
C6orf192	7742	1472	1996	8626	1347	1732	8392	1458	1697	7852	1934	1688	3295	708	971
C6orf195	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf201	82	10	19	61	7	13	71	13	14	7	2	1	6	1	1
C6orf203	1467	277	313	1539	269	317	858	238	203	225	33	66	42	2	4
C6orf211	3821	742	748	3208	668	623	2182	620	565	1368	337	263	822	74	110
C6orf221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf222	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3
C6orf223	139	23	17	472	61	24	1417	143	78	1153	88	146	38	4	10
C6orf225	384	65	50	509	73	46	330	69	32	68	5	8	9	4	5
C6orf226	143	18	45	157	18	24	162	16	38	205	31	34	246	14	17
C6orf228	4293	688	867	4966	816	841	3462	797	865	1813	395	526	467	51	62
C6orf25	189	5	5	100	7	13	90	8	10	147	5	8	306	18	21
C6orf47	3348	392	617	3331	415	541	2925	435	500	2078	262	367	2604	141	190
C6orf48	11031	1127	3056	10661	1288	2523	8189	1202	1851	4336	470	663	1579	256	404
C6orf52	165	35	20	176	43	21	114	31	15	25	7	3	20	1	0
C6orf57	454	99	85	375	72	91	229	74	87	65	8	14	11	0	1
C6orf58	11	1	0	2	0	0	1	1	0	0	0	0	0	0	0
C6orf62	16685	2810	2594	19293	3103	2877	16231	3304	2855	24270	5060	6178	25326	5511	6857
C6orf7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf70	986	190	202	1389	238	288	1059	275	272	396	94	99	61	15	12
C6orf72	2935	448	476	3776	541	571	3601	669	707	2963	615	653	551	84	121
C6orf89	47758	5814	8324	64865	8469	8874	60570	9245	9033	35171	5497	6014	14899	1533	2135
C6orf97	0	0	0	1	0	0	5	0	0	0	0	0	2	0	1
C6orf99	10	1	1	24	1	4	24	3	7	11	1	4	0	0	0
C7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
C7orf10	186	1	16	68	0	7	7	0	1	0	0	0	0	0	0
C7orf11	5115	784	1165	4781	812	1105	3276	761	853	2194	367	518	1266	146	164
C7orf13	550	41	141	488	65	111	436	55	117	567	56	123	318	21	30
C7orf23	186	22	33	89	6	20	19	0	11	3	0	1	0	1	0
C7orf25	954	212	156	971	243	183	651	213	163	115	38	26	67	7	16
C7orf26	6710	583	1198	6587	653	1184	4818	645	905	3128	299	490	729	79	109
C7orf29	2548	177	552	1598	124	340	580	76	180	20	4	3	21	1	3
C7orf31	371	35	57	368	32	36	227	38	47	18	5	3	3	0	2
C7orf33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf34	212	26	46	323	28	73	281	42	82	385	96	106	278	55	76
C7orf41	24106	2316	3407	27894	3045	3262	22622	3018	3429	34142	5702	8694	31016	3250	4214
C7orf42	22087	2892	4035	23827	3767	4372	16833	3408	3681	8019	1357	1726	7339	841	1135
C7orf43	2366	169	390	2467	227	474	1696	247	317	1624	159	324	1227	99	164
C7orf44	10293	1658	2148	10556	1927	1966	7053	1732	1610	1794	294	283	270	39	58
C7orf45	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C7orf46	251	34	60	247	50	63	179	57	63	37	9	18	2	2	2
C7orf49	5558	454	657	6584	643	783	6153	763	750	6905	828	1383	10894	970	1254
C7orf50	5941	663	1127	6545	927	1305	4696	989	1124	3027	265	558	651	49	48
C7orf53	17	3	8	37	4	15	22	4	6	23	11	18	164	50	57
C7orf55	365	54	67	328	59	43	365	58	65	205	28	24	75	8	12
C7orf57	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C7orf58	6661	214	1461	3522	145	859	1697	73	370	2039	150	444	1147	161	214
C7orf59	5449	534	747	5599	728	979	4524	682	850	2932	316	387	3728	205	334
C7orf60	1024	171	283	821	149	222	395	94	169	521	187	159	758	240	310
C7orf61	140	11	15	108	11	16	111	4	11	151	12	38	693	116	141
C7orf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf63	23	4	1	38	1	5	14	1	1	2	2	1	0	0	1
C7orf65	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C7orf66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf70	2476	353	639	2472	384	579	1871	359	428	748	111	135	463	30	47
C7orf71	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C7orf72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf73	8041	1052	2015	13696	1539	2295	19574	2395	3787	47716	6373	12042	26050	2234	2874
C8A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8G	40	1	12	26	3	3	13	4	2	2	0	0	0	0	1
C8ORFK29	25	0	9	48	5	5	53	4	13	12	7	14	1	0	1
C8orf12	0	0	0	12	1	1	51	5	6	35	10	14	2	2	2
C8orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C8orf33	11004	1134	1573	11667	1296	1446	6310	950	950	636	51	39	61	10	30
C8orf34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf37	517	110	85	565	112	115	364	97	98	24	6	10	6	2	0
C8orf38	1629	268	297	1588	265	336	693	199	150	85	22	25	19	2	4
C8orf39	249	13	12	180	21	24	122	28	25	92	14	18	23	4	3
C8orf4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf40	2274	409	399	1955	363	370	1181	332	322	491	86	64	144	24	40
C8orf42	0	3	2	1	1	2	1	0	0	3	0	0	3	0	0
C8orf44	216	13	36	152	24	30	74	17	26	127	23	50	93	19	20
C8orf44-SGK3	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0
C8orf45	73	14	12	67	16	22	45	15	13	10	3	1	0	2	1
C8orf46	38	2	15	26	2	3	6	1	0	1	1	2	0	0	0
C8orf47	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0
C8orf48	26	3	1	9	0	4	12	1	3	1	1	0	0	0	0
C8orf51	25	9	7	35	10	15	53	12	2	3	1	0	0	0	0
C8orf55	12512	1212	1711	9689	1198	1525	3721	680	740	157	57	40	12	11	11
C8orf56	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
C8orf58	1189	105	161	732	71	101	436	49	33	185	25	22	1113	44	66
C8orf59	4690	913	923	4689	950	828	2929	737	659	1580	319	313	218	58	76
C8orf69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf73	1588	58	296	1509	100	266	887	78	167	635	79	147	132	10	12
C8orf74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf76	612	77	130	733	75	119	504	87	102	415	44	71	177	21	20
C8orf77	26	3	2	14	3	3	13	4	2	3	0	0	1	1	0
C8orf80	0	0	0	4	0	1	1	2	0	1	2	3	0	0	0
C8orf82	3453	339	701	2384	356	635	1395	230	319	965	183	292	1006	92	115
C8orf83	2443	526	704	2612	504	582	2081	528	541	974	187	224	376	47	68
C8orf84	21	13	7	20	5	8	21	6	18	13	7	6	4	2	2
C8orf85	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0
C8orf86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf100	1975	350	400	4131	556	564	7350	1228	1131	2176	348	457	44	40	49
C9orf102	1651	179	302	2016	321	225	1919	377	273	1119	222	125	285	56	54
C9orf103	208	45	32	197	25	35	148	26	12	78	8	14	31	4	2
C9orf106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf11	4	0	7	4	2	6	3	2	3	0	0	0	0	0	0
C9orf114	9326	836	1501	9051	1020	1564	5511	942	1067	1120	196	224	309	38	49
C9orf116	109	20	17	51	8	18	25	1	5	10	0	1	5	1	0
C9orf117	437	24	53	336	34	43	214	13	19	10	3	6	7	0	1
C9orf123	3848	538	669	3053	489	626	1166	277	248	27	13	4	7	4	7
C9orf125	498	44	144	387	46	101	128	17	36	14	3	1	0	0	0
C9orf128	4	0	0	0	2	0	0	0	0	1	0	0	3	0	0
C9orf129	13	4	3	1	6	2	3	1	1	0	0	0	0	0	0
C9orf131	10	1	1	19	0	1	14	0	4	79	13	11	131	22	25
C9orf135	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C9orf139	0	0	0	1	1	0	4	0	0	2	0	0	0	0	1
C9orf142	3376	264	625	3603	436	803	2243	405	532	138	23	50	13	5	3
C9orf146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf152	3	1	0	1	0	0	1	1	0	1	0	0	41	3	3
C9orf153	10	0	3	9	0	0	5	0	2	24	3	7	45	3	10
C9orf156	2888	276	435	3150	405	387	1971	368	298	1157	186	173	1407	178	260
C9orf16	3204	253	480	3141	323	466	2657	381	411	551	94	87	201	15	22
C9orf163	172	11	23	123	20	21	54	10	10	37	8	16	68	4	3
C9orf167	2801	201	624	1398	157	383	454	58	80	39	9	4	68	14	12
C9orf169	39	3	2	29	1	5	17	3	2	16	0	2	65	20	21
C9orf170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf171	9	0	0	8	0	3	5	0	1	0	0	2	45	2	0
C9orf172	90	6	22	109	11	16	87	15	8	117	17	28	50	6	3
C9orf173	19	1	9	16	3	3	15	3	3	7	0	0	7	0	0
C9orf174	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C9orf21	577	79	88	375	45	43	110	11	13	2	0	2	6	1	0
C9orf23	3299	331	463	2800	368	427	1756	329	255	728	107	84	422	22	31
C9orf24	4	1	0	1	0	0	2	0	1	3	2	0	0	0	0
C9orf25	856	116	161	1413	183	167	1587	232	236	3029	320	402	888	50	73
C9orf29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf3	547	95	72	703	121	91	525	142	86	228	31	39	24	5	8
C9orf30	2374	425	406	2663	423	466	1932	367	463	160	19	33	3	2	9
C9orf30-TMEFF1	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0
C9orf37	2007	162	322	1976	209	329	1450	214	288	1212	132	230	1166	38	63
C9orf4	33	12	12	38	6	13	16	4	1	18	0	0	12	0	1
C9orf40	8700	1718	2035	9464	1812	2369	9581	2258	2624	7943	1968	2678	1346	543	704
C9orf41	3304	592	733	3185	683	685	1623	435	488	653	149	154	146	29	36
C9orf43	95	7	11	81	9	15	50	10	9	15	1	4	10	3	0
C9orf46	1808	288	260	2241	333	305	2339	369	372	1718	160	192	114	15	22
C9orf47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf5	39986	5276	7475	47595	6549	7484	48886	7579	8525	68905	11522	15491	59418	10900	14509
C9orf50	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
C9orf53	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C9orf57	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
C9orf64	3862	673	839	4865	805	761	3886	764	671	1048	135	163	53	21	24
C9orf66	15	12	13	34	16	15	48	31	17	10	5	5	0	3	2
C9orf68	14	3	2	18	3	9	34	1	2	23	2	6	5	1	2
C9orf69	12645	1101	1973	11103	1245	1847	7521	1145	1399	7546	1137	1916	13790	1178	1596
C9orf7	185	11	24	143	15	11	169	17	19	155	21	30	184	14	9
C9orf71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf72	1463	217	412	1607	302	464	1176	373	321	805	186	128	528	71	88
C9orf78	12044	1693	2019	16850	2148	2523	18585	2543	3028	25587	4797	7381	47346	8010	9976
C9orf79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf80	2663	438	467	2941	535	472	2482	568	501	1635	305	313	184	26	33
C9orf82	4777	1007	1214	5095	1090	1262	3287	1008	1040	1274	262	287	436	104	115
C9orf84	0	1	0	1	1	2	5	2	8	0	1	0	8	0	0
C9orf85	606	100	109	593	96	113	343	67	94	213	44	30	60	3	17
C9orf86	42875	3565	7202	50959	5095	7819	45381	5766	7025	23240	2943	4398	4100	383	430
C9orf89	529	48	73	441	39	65	303	48	48	464	45	76	218	19	18
C9orf9	359	50	57	246	43	46	172	36	22	72	6	12	50	3	5
C9orf91	432	68	59	603	109	89	548	89	58	117	14	13	98	4	7
C9orf93	534	43	72	401	55	79	276	53	51	125	13	18	13	2	0
C9orf95	693	166	256	727	192	255	582	169	258	583	185	316	369	154	198
C9orf96	60	5	12	57	7	9	20	3	0	14	0	1	17	0	0
CA1	7712	780	3684	32827	1937	7221	67942	4508	17320	20055	7230	6155	5581	1572	2327
CA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA11	28	3	15	49	2	9	37	3	6	8	1	0	134	4	6
CA12	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CA13	30	2	2	32	5	2	69	2	2	206	28	48	28	0	1
CA14	34	3	8	38	2	11	24	1	4	10	1	4	33	3	0
CA2	26003	2669	5468	46799	4536	6813	61559	7319	10622	20930	3580	3592	2907	607	824
CA3	442	13	142	1011	38	168	1500	87	510	168	21	19	15	1	4
CA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA5A	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0
CA5B	398	67	77	399	102	111	311	78	67	445	51	49	142	11	14
CA5BP1	2021	150	309	1671	168	239	1074	131	177	986	90	135	383	28	29
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA8	12015	1648	1035	15135	2112	1185	14342	2758	1692	9699	2083	1549	5577	2384	3166
CA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAB39	26301	4254	6115	24928	4398	5253	15859	3666	4056	7438	1627	2005	5153	1064	1392
CAB39L	1091	254	256	1042	208	187	985	173	129	538	85	60	66	13	17
CABIN1	51992	4553	9993	45168	5372	8256	27947	4479	5374	4954	600	992	653	72	75
CABLES1	5215	497	1068	4525	442	820	1665	168	312	368	33	198	975	71	103
CABLES2	3623	309	730	5963	636	1043	6785	958	1326	4808	574	1003	336	40	52
CABP1	0	0	0	0	0	0	0	0	0	0	0	0	41	2	20
CABP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABP4	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0
CABP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABP7	25	5	1	30	4	4	26	1	2	33	1	6	16	1	1
CABS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABYR	21	1	5	15	2	1	6	1	0	0	0	0	20	24	31
CACHD1	1341	109	393	1419	146	399	992	175	283	11	0	0	24	0	0
CACNA1A	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
CACNA1B	10	1	0	12	0	1	17	5	2	152	5	14	42	4	8
CACNA1C	323	25	51	199	25	42	54	15	9	9	1	0	0	2	3
CACNA1D	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0
CACNA1E	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CACNA1F	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0
CACNA1G	0	0	0	2	0	0	1	2	0	0	0	0	5	0	0
CACNA1H	0	0	0	0	0	0	3	1	0	1	0	1	8	0	1
CACNA1I	85	35	0	661	175	29	1332	418	89	309	64	31	95	16	29
CACNA1S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACNA2D1	0	0	1	3	1	2	1	0	0	0	0	0	0	0	0
CACNA2D2	21	3	21	46	10	11	35	17	12	15	0	7	14	2	1
CACNA2D3	0	0	0	1	0	0	11	0	0	0	0	0	2	0	0
CACNA2D4	188	22	56	307	41	83	425	60	108	265	60	106	43	7	18
CACNB1	95	4	12	50	5	8	14	1	2	0	0	1	12	0	0
CACNB2	156	18	24	165	27	43	120	41	52	60	21	22	21	8	9
CACNB3	83	2	6	41	4	1	61	4	0	28	2	1	46	0	2
CACNB4	8	1	0	7	2	2	10	3	0	7	2	1	10	3	2
CACNG1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACNG2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG4	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
CACNG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG8	0	0	0	1	1	1	0	0	0	1	0	0	10	1	0
CACYBP	16786	2396	3282	16627	2235	3172	8934	1612	2089	3578	595	875	2903	189	287
CAD	63682	4757	8870	51847	5732	7836	19664	3192	3464	1197	177	201	356	45	63
CADM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CADM2	29	12	0	39	11	1	23	10	1	7	2	1	5	2	7
CADM3	16	3	5	36	3	11	84	4	11	310	15	38	407	90	124
CADM4	71	13	4	42	10	11	34	12	6	10	1	3	9	2	0
CADPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CADPS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAGE1	13	1	3	14	4	2	8	3	2	0	1	2	0	0	3
CAHM	37	5	10	35	8	10	16	4	1	10	0	3	2	0	0
CALB1	7	1	5	3	5	2	0	3	0	17	5	3	20	2	1
CALB2	1	0	0	0	0	0	3	0	0	83	14	61	346	28	40
CALCA	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CALCB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
