ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	entrezID
CCDC73	-2.602451641	1.634559154	-8.392405129	0.000269056	0.015191716	1.060644479	493860
MIR4432HG	-2.945467026	3.391029347	-8.381411272	0.000270849	0.01524531	1.053465737	106660609
TNFRSF14	-1.53709185	7.231162275	-8.365978383	0.000273388	0.015310303	1.043372462	8764
MYO18B	-1.456132341	7.264420597	-8.359327941	0.000274491	0.015340766	1.039017248	84700
TBC1D4	-1.060384707	9.501243398	-8.354682769	0.000275265	0.015352729	1.035973179	9882
PRRT3	-1.219127969	6.562224316	-8.345447577	0.00027681	0.015407612	1.029916148	285368
HPGD	-1.461601857	10.49091667	-8.339306678	0.000277844	0.015433821	1.025884838	3248
NFILZ	-1.395666172	3.269248258	-8.334055338	0.000278731	0.015435443	1.022435142	105372267
PREX1	-1.195296711	9.331947453	-8.319258465	0.000281249	0.015468293	1.01270312	57580
PIWIL3	-3.505971798	3.809627566	-8.31182843	0.000282523	0.015468293	1.007809803	440822
RAG1	-2.742404935	3.609284307	-8.305942212	0.000283537	0.015468293	1.003930121	5896
COL23A1	-1.391889431	6.527500753	-8.278938432	0.000288246	0.015650003	0.986096363	91522
BST2	-1.176497461	9.262816766	-8.276086425	0.000288749	0.015650003	0.984209465	684
NRBP2	-1.481182054	6.494475766	-8.25837843	0.000291893	0.015708738	0.972479284	340371
CNKSR3	-1.370916093	9.420678918	-8.255522435	0.000292404	0.015708738	0.970585063	154043
KRT19	-1.193484439	9.854336532	-8.25220331	0.000292999	0.015708738	0.968382856	3880
RPS6KL1	-1.401890259	10.43304535	-8.251655715	0.000293097	0.015708738	0.968019447	83694
EVI2A	-1.871569948	3.325759974	-8.237625612	0.000295629	0.015813544	0.958700255	2123
LINC01226	-3.516915595	2.620111964	-8.201151796	0.000302331	0.016078056	0.934399371	284551
DRAM1	-1.026646934	8.093221774	-8.196081825	0.000303277	0.016097155	0.931012992	55332
FAM83A-AS1	-1.366211433	6.973109869	-8.176031765	0.000307051	0.016266019	0.917600625	100131726
PLEKHA7	-1.598363688	7.10393698	-8.13079846	0.00031577	0.016631578	0.887222222	144100
SERINC2	-1.218624063	5.172062134	-8.118494534	0.000318192	0.016663176	0.878930117	347735
VAV1	-1.299937378	7.365862665	-8.097294237	0.000322416	0.016852212	0.864613297	7409
ATP5F1AP3	-1.417527482	4.760369777	-8.059455027	0.000330119	0.017062703	0.838968113	645443
SPATC1L	-1.111842799	7.415066801	-8.059191282	0.000330174	0.017062703	0.838788948	84221
ECHDC2	-1.442438408	7.429572624	-8.04932101	0.000332219	0.017117271	0.832079792	55268
PTPN6	-1.147063746	10.70781935	-8.030182786	0.000336227	0.017187056	0.819047874	5777
CD53	-2.163416404	5.413159347	-8.009343374	0.000340656	0.017343106	0.8048229	963
USP18	-1.668421507	6.041256125	-7.986048579	0.000345688	0.017437527	0.788878958	11274
TRIM63	-2.901147402	6.084321712	-7.976480613	0.00034778	0.017510864	0.782317066	84676
CD37	-1.222793955	8.302409475	-7.960589623	0.000351287	0.017537416	0.771401731	951
DGKA	-1.017629433	8.495428979	-7.94769323	0.000354164	0.017537416	0.762527717	1606
NEK11	-1.477653136	5.065242083	-7.946116355	0.000354518	0.017537416	0.761441706	79858
GPT	-2.231334314	5.461058361	-7.930681074	0.000358001	0.017537416	0.750800163	2875
PTPN22	-1.769026483	6.479391523	-7.922900208	0.000359773	0.017537416	0.745428158	26191
CALB2	-2.449674385	4.889621671	-7.917281038	0.000361058	0.017537416	0.741545421	794
CTSE	-1.042566932	9.901436589	-7.893436485	0.000366574	0.017537416	0.725039454	1510
LRRC2	-1.199432718	8.515859817	-7.880633229	0.000369576	0.017537416	0.716156643	79442
PTPRH	-1.254144414	8.935549003	-7.84612399	0.000377813	0.017537416	0.692144526	5794
P2RX4	-1.250725812	8.059159617	-7.84601416	0.00037784	0.017537416	0.692067941	5025
COL6A4P2	-1.035894399	10.7951591	-7.837105306	0.000380001	0.017537416	0.685852322	646300
CDKL1	-1.324183188	8.721167258	-7.802249498	0.000388598	0.017537416	0.661467988	8814
PPM1H	-1.371757785	7.866486433	-7.792634402	0.000391009	0.017537416	0.654722986	57460
SSC4D	-2.163951032	1.081975516	-7.790995353	0.000391422	0.017537416	0.65357239	136853
LGALS1	-1.855445249	6.366683468	-7.790010052	0.00039167	0.017537416	0.652880607	3956
MYCN	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	4613
LINC02212	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	101929412
RPL5P21	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	100270838
SRRM3	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	222183
TCAM1P	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	146771
PRR34	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	55267
CRYAA2	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	NA
TMSB4XP2	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	7116
SOD1P1	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	106479055
OR10D3	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	26497
ALX4	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	60529
KRT17P8	-1.830617699	0.915308849	-7.771225073	0.000396442	0.017537416	0.639675465	100130074
GAREM2	-1.417740604	4.79466625	-7.762283207	0.000398737	0.017537416	0.633378869	150946
MYH15	-1.117144514	7.208299814	-7.742753212	0.000403804	0.017604004	0.619602145	22989
SHISA7	-1.353872274	9.234831865	-7.739529072	0.000404648	0.017604004	0.617324584	729956
ARHGAP42	-2.342462565	6.83032459	-7.738947162	0.0004048	0.017604004	0.61691342	143872
HSPA7	-2.627020402	5.74990757	-7.734467965	0.000405977	0.017608432	0.613747534	3311
P2RX7	-2.684401013	5.331275926	-7.721012096	0.000409534	0.01767971	0.604226365	5027
TMPRSS11F	-2.947450114	3.776021922	-7.72015174	0.000409763	0.01767971	0.603617049	389208
KCNN4	-1.99980524	6.641336687	-7.65963649	0.00042623	0.018256393	0.560595391	3783
CDK6	-1.004677822	9.807170324	-7.640539642	0.000431587	0.018418632	0.546951585	1021
PLP2	-1.122492482	8.812482771	-7.626674034	0.000435526	0.018500409	0.537024872	5355
UBASH3A	-2.390559995	6.134541038	-7.617802965	0.000438068	0.018545024	0.530664847	53347
SLC11A1	-1.599468998	6.524391119	-7.603442846	0.00044222	0.01861284	0.520354552	6556
CFAP161	-1.908957569	5.051919329	-7.583433195	0.000448082	0.018772251	0.5059571	161502
CD244	-4.737907614	4.629407045	-7.580525096	0.000448942	0.018779591	0.503861647	51744
SLC18B1	-1.03931637	8.953428938	-7.577092241	0.000449959	0.01879349	0.501387096	116843
PROKR1	-1.950814271	2.560369636	-7.56028084	0.000454979	0.018916798	0.489253335	10887
LINC00884	-1.215331053	7.935216808	-7.53546346	0.000462511	0.019170741	0.471294404	NA
MS4A4E	-4.048697102	3.219336051	-7.512809485	0.000469513	0.019345221	0.454852108	643680
FAM13A	-1.16036752	8.767139878	-7.502638201	0.000472698	0.01940757	0.447454537	10144
EFHB	-1.390253218	4.613422443	-7.481847825	0.000479286	0.019489821	0.432304238	151651
QPRT	-1.005015739	9.44785065	-7.481442987	0.000479415	0.019489821	0.432008832	23475
STARD10	-1.241767559	5.349330464	-7.472162851	0.000482391	0.01955288	0.425233088	10809
ITGB2	-1.685013788	4.642088125	-7.468329461	0.000483627	0.019574055	0.422431888	3689
LINC00963	-1.052291962	8.835699934	-7.461211888	0.000485931	0.019609469	0.417227224	100506190
NCF1	-4.055596917	3.222785959	-7.447195337	0.000490507	0.019736057	0.406964081	653361
RGS16	-1.376694735	7.777808063	-7.433376048	0.000495067	0.019861829	0.396827601	6004
CRISP3	-1.870956166	3.950276123	-7.433336692	0.00049508	0.019861829	0.396798708	10321
FAIM	-1.068185225	7.625099789	-7.42578431	0.000497593	0.01990132	0.391251515	55179
SBF2-AS1	-1.914997989	4.850072209	-7.420554402	0.000499343	0.01990132	0.387407068	283104
GAPT	-1.801367536	4.772100344	-7.41716912	0.000500479	0.01990132	0.384917232	202309
HMGB3P26	-2.251629167	1.125814584	-7.379249965	0.000513413	0.020271313	0.356955187	100130405
TRIM29	-2.391456969	4.049809292	-7.372090871	0.000515899	0.020311006	0.351660911	23650
IL20RB	-1.992913134	5.174233145	-7.368041726	0.000517311	0.020337422	0.348664372	53833
KCNQ4	-1.8741633	5.970142787	-7.336702835	0.000528394	0.020512228	0.325420173	9132
ORAI2	-1.102756133	8.266214931	-7.330148759	0.000530747	0.020512228	0.320547291	80228
MRPS30-DT	-1.241630921	3.734098795	-7.329714997	0.000530903	0.020512228	0.320224652	100506674
MYB	-1.330815826	12.56878716	-7.32126501	0.000533956	0.020579045	0.313935848	4602
ZNF815P	-1.780976928	5.601187808	-7.314218855	0.000536517	0.020619836	0.308686666	401303
HMGB3P16	-3.567390895	2.312016281	-7.30120114	0.000541287	0.020774057	0.298976472	100873900
HEPH	-3.002420307	5.216945128	-7.299032964	0.000542086	0.020775674	0.297357622	9843
DLGAP1-AS1	-1.056235674	6.825616298	-7.275121823	0.000550992	0.021019435	0.279474913	649446
PRDM1	-2.067167948	5.874117454	-7.271712413	0.000552276	0.021019435	0.27692064	639
APOC1	-2.052312924	6.334427297	-7.258666621	0.000557221	0.021067404	0.267136701	341
ROM1	-1.279573031	4.444681594	-7.255474621	0.000558439	0.021067404	0.264740322	6094
PNMA3	-1.825124388	2.743179893	-7.252233673	0.000559678	0.021067404	0.262306197	29944
IGHD	-3.200590263	4.527415036	-7.239553456	0.00056456	0.021164041	0.252773004	3495
RINL	-1.102759662	8.417003441	-7.223671705	0.000570743	0.021308528	0.240811065	126432
EPN3	-1.966038281	5.25025526	-7.212254876	0.000575238	0.021418039	0.232197048	55040
PITX1-AS1	-1.418048828	6.131896113	-7.208928979	0.000576555	0.021437988	0.229685289	100996485
CCR7	-1.308943603	5.547815069	-7.200094173	0.00058007	0.021438388	0.223007943	1236
IKZF2	-1.331965201	4.972270346	-7.196085656	0.000581674	0.021438388	0.219975818	22807
BCRP3	-2.138345833	2.899790615	-7.159555832	0.000596527	0.021796652	0.192272095	644165
MAPK3	-1.313384682	7.10656362	-7.125160967	0.000610918	0.022112551	0.166068664	5595
MOV10L1	-1.864982196	3.698893771	-7.104685829	0.000619678	0.022112551	0.150414822	54456
DBP	-1.305453216	5.128890287	-7.102271875	0.00062072	0.022112551	0.148566567	1628
MRGPRE	-3.37424519	3.622907569	-7.091919803	0.000625214	0.022112551	0.140633947	116534
LINC01088	-2.204471692	4.271500726	-7.078181731	0.000631236	0.022112551	0.130090362	100505875
SMIM10	-1.007654698	11.54035534	-7.067031981	0.000636174	0.022112551	0.121519521	644538
ZBBX	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	79740
LINC02613	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	101929596
RALBP1P1	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	131054
FAM136BP	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	387071
FYTTD1P1	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	100128665
TEX12	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	56158
EIF4BP2	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	100129337
LINC00482	-1.389975	0.6949875	-7.043152163	0.000646901	0.022112551	0.103121557	284185
TPSD1	-1.311196037	6.592572361	-7.040248445	0.00064822	0.022124128	0.100880551	23430
EPS8L1	-1.446102359	7.312105462	-7.022467942	0.000656364	0.022318815	0.087139735	54869
MERTK	-1.872429463	6.670721421	-7.016025381	0.000659344	0.022364733	0.082153116	10461
HECW2-AS1	-1.99239069	4.101245199	-7.011038908	0.000661662	0.022383988	0.078290676	101927482
FCGR2B	-1.899434658	4.605459415	-6.991274406	0.000670942	0.022535291	0.062956901	2213
CMKLR1	-1.456812297	5.292029818	-6.979282168	0.000676648	0.022643764	0.053633904	1240
IFITM2	-2.938379964	4.652772244	-6.97750594	0.000677497	0.022644587	0.052251799	10581
IRAG2	-1.355915706	6.881796106	-6.96487657	0.000683576	0.022741038	0.04241556	4033
LINC00570	-2.919974047	6.212842368	-6.958807255	0.00068652	0.022779668	0.037682814	100874055
KCNQ5	-2.330752165	4.974480364	-6.942943069	0.000694284	0.022954047	0.025294598	56479
SYTL3	-2.284477778	3.908641562	-6.937516897	0.000696964	0.02298724	0.021051489	94120
SPRR2F	-2.238081839	1.11904092	-6.928615711	0.000701385	0.022994878	0.014084547	6705
ESRRG	-2.46008153	4.213802337	-6.907180759	0.000712168	0.023182199	-0.002725637	2104
PTPRC	-1.138668324	9.907771389	-6.874554148	0.000728954	0.023477957	-0.028402878	5788
NYAP1	-1.468629766	6.116239206	-6.870331999	0.00073116	0.023521395	-0.031733698	222950
CLDN11	-3.259294601	4.70189592	-6.867923126	0.000732422	0.023534403	-0.033634859	5010
STMN3	-1.026792516	6.616781476	-6.851419824	0.000741136	0.023675809	-0.046675865	50861
LHFPL2	-1.687758586	7.230555615	-6.84242901	0.000745935	0.023801393	-0.053792275	10184
FCRLA	-2.577106344	2.816874005	-6.829099218	0.000753116	0.023946999	-0.064358446	84824
S100A3	-2.333583873	6.327023786	-6.823635344	0.000756083	0.023973218	-0.068694829	6274
FANK1	-1.693248289	6.269782051	-6.822756381	0.000756562	0.023973218	-0.069392703	92565
LILRA6	-1.789473052	4.637676089	-6.817111778	0.000759643	0.024043103	-0.073876285	79168
BOK	-1.302583029	4.630170828	-6.784143876	0.000777938	0.024397923	-0.1001293	666
TLX3	-1.821887857	3.677346602	-6.732357729	0.000807723	0.024993179	-0.141597122	30012
GAR1	-1.063772776	11.52423879	-6.732095945	0.000807877	0.024993179	-0.141807462	54433
CNN2P9	-1.43975132	2.304838161	-6.728794276	0.000809821	0.024996962	-0.144460928	441166
PPFIA4	-1.001006897	6.491047902	-6.724712597	0.000812232	0.025016406	-0.147742859	8497
SFTPD	-1.053488224	4.663207757	-6.711026754	0.000820377	0.025105289	-0.158759996	6441
SOX21-AS1	-2.109769208	5.175623876	-6.668858463	0.00084608	0.025626147	-0.192830455	100507533
TNFAIP3	-1.014878698	6.549593515	-6.6656014	0.000848104	0.025659131	-0.195469918	7128
C12orf75	-1.187874115	7.868019445	-6.655397785	0.000854482	0.025761125	-0.20374607	387882
AIF1	-1.552339362	5.90429603	-6.649610596	0.000858124	0.02576664	-0.208445006	199
GPR34	-2.95678824	1.47839412	-6.649441503	0.000858231	0.02576664	-0.208582356	2857
SOGA1	-1.196278063	7.236520405	-6.635723364	0.000866938	0.025817412	-0.219735445	140710
TMEM141	-1.10241796	6.39622988	-6.62855544	0.000871528	0.025854711	-0.225571126	85014
FCGR3B	-1.270911034	4.935870194	-6.612208853	0.000882104	0.02608384	-0.238900175	2215
GIHCG	-1.084130307	9.294596826	-6.606616095	0.000885756	0.026149961	-0.243467134	100506844
LITAF	-1.43196944	7.353343558	-6.599885811	0.000890175	0.026181443	-0.248967455	9516
MYO1G	-1.26648861	7.899374148	-6.577419216	0.000905112	0.026478883	-0.267363741	64005
EPX	-2.308365064	3.392264371	-6.568910113	0.000910846	0.026589927	-0.274345522	8288
GKN2	-2.399890782	1.199945391	-6.561045035	0.000916184	0.026660655	-0.280805875	200504
GAS7	-1.184297791	7.115199227	-6.558778907	0.000917728	0.026677313	-0.282668515	8522
PGA5	-2.433069339	1.549868003	-6.553969842	0.000921016	0.026716289	-0.286623169	5222
ADAMTSL4	-1.028488547	7.504788727	-6.545482362	0.000926853	0.026748723	-0.293608859	54507
CYTL1	-1.199189063	5.455282801	-6.540980728	0.000929966	0.026748723	-0.297317155	54360
MIOS-DT	-1.227975876	6.133122561	-6.530189255	0.000937479	0.026853183	-0.306215829	101927391
CD84	-1.411527112	7.227152923	-6.524856143	0.000941217	0.026917647	-0.31061823	8832
BOLA3-AS1	-1.694787333	6.504305348	-6.519516083	0.000944978	0.02692437	-0.315029489	NA
NECTIN1	-1.598243144	9.093677667	-6.516893561	0.000946832	0.02692437	-0.317197019	5818
LINC01094	-1.454468244	5.510512152	-6.509740079	0.000951909	0.027040731	-0.32311325	100505702
DDX60	-1.106208123	8.403174499	-6.508138472	0.000953051	0.027043609	-0.324438616	55601
LDB3	-1.913572576	4.346761289	-6.50054403	0.000958483	0.027109052	-0.33072703	11155
TSPAN7	-3.122107405	2.089374536	-6.499470715	0.000959254	0.027109052	-0.331616278	7102
ARHGAP9	-2.349365298	5.058964307	-6.48588347	0.000969073	0.027329742	-0.342884353	64333
GASK1B	-2.311520477	5.117150412	-6.480319145	0.000973128	0.027388323	-0.347504796	51313
RHEX	-2.733563667	5.241865908	-6.476840943	0.000975673	0.027405309	-0.350394724	440712
MLPH	-1.411010304	5.74159829	-6.471074997	0.000979909	0.027438448	-0.355188412	79083
HSBP1L1	-1.761420651	5.193780953	-6.457211666	0.000990181	0.02761337	-0.366729162	440498
BEST1	-1.103754183	8.111027511	-6.454830126	0.000991958	0.027634848	-0.368713857	7439
NOS3	-1.788774071	2.422707869	-6.392717325	0.001039649	0.028443689	-0.420699687	4846
C5AR2	-1.15612554	8.654297753	-6.363964012	0.001062628	0.028704722	-0.444911368	27202
KAZALD1	-1.872965543	6.402730669	-6.358818207	0.001066803	0.028717762	-0.449254213	81621
BTN2A2	-1.153121881	9.234059627	-6.358012304	0.001067458	0.028717762	-0.449934632	10385
MLKL	-1.127179456	7.570385024	-6.321598923	0.001097572	0.029241226	-0.480754977	197259
LINC02413	-1.918295834	0.959147917	-6.28681875	0.001127262	0.029743457	-0.510333772	105369906
WIPF1	-1.410208981	7.28113889	-6.254444526	0.001155742	0.030204486	-0.537990837	7456
CRYZL2P	-1.756486892	4.104149993	-6.247735672	0.001161748	0.030332563	-0.543737234	730102
MYO1F	-1.616769022	5.460993698	-6.244817058	0.001164372	0.030372182	-0.546238761	4542
LGALS3BP	-1.066238001	8.38340585	-6.23876638	0.001169835	0.030485688	-0.551427892	3959
KCNK12	-1.480190864	3.506498105	-6.204440239	0.001201394	0.030992304	-0.580946548	56660
HES5	-1.505338382	2.828942088	-6.193246552	0.001211899	0.031221621	-0.590602086	388585
DIXDC1	-1.225083509	6.368234843	-6.179081305	0.001225346	0.031424965	-0.602841773	85458
SAMD3	-1.698239552	3.332856813	-6.174848571	0.001229398	0.031499438	-0.606503671	154075
IL7	-1.042019362	4.813437726	-6.15279223	0.001250765	0.031750455	-0.625619351	3574
SERPINB9P1	-1.528479835	4.851800631	-6.146409627	0.001257029	0.031879965	-0.63116163	221756
TLR6	-1.132424352	6.318466022	-6.140941585	0.001262424	0.031987231	-0.635913561	10333
ITGAM	-2.55620121	3.270527246	-6.115356723	0.001288028	0.032352147	-0.658194511	3684
EML1	-1.230014849	3.024613655	-6.109740135	0.00129373	0.032355339	-0.663096134	2009
FNTAP1	-1.060583479	2.11525424	-6.105380736	0.001298175	0.032355339	-0.666903174	283226
YBX2	-1.786250482	6.814178736	-6.09076307	0.001313212	0.032582141	-0.67968512	51087
DNAAF11	-1.618754841	5.861009821	-6.080004593	0.001324408	0.032744605	-0.689108712	23639
FCGR3A	-2.311842877	4.773171119	-6.06881317	0.001336173	0.032744605	-0.698926131	2214
ASGR1	-1.20555712	4.174193733	-6.062201122	0.001343181	0.032744605	-0.704733406	432
AMY1B	-1.1949875	0.59749375	-6.05512962	0.001350723	0.032744605	-0.710949984	277
LINC02851	-1.1949875	0.59749375	-6.05512962	0.001350723	0.032744605	-0.710949984	105375968
CDK2AP2P2	-1.1949875	0.59749375	-6.05512962	0.001350723	0.032744605	-0.710949984	107133486
IKBKE	-1.018125895	7.149831497	-6.054346996	0.001351561	0.032744605	-0.711638357	9641
GASK1B-AS1	-2.297615882	4.903035322	-6.05395727	0.001351978	0.032744605	-0.711981177	285505
TEX45	-2.788774071	1.727720369	-6.047109112	0.001359337	0.032842196	-0.718008061	374877
NR5A2	-2.00448742	3.240325549	-6.041404123	0.001365503	0.032955829	-0.723033154	2494
PAK6	-1.856538179	4.115683231	-6.000187002	0.001411031	0.03355294	-0.75945418	56924
LPIN3	-2.327858443	6.18727491	-5.953471385	0.00146478	0.034391488	-0.800981636	64900
PLCB2	-1.116490324	8.766076404	-5.939004304	0.001481906	0.034637965	-0.813895739	5330
TRAC	-2.079821978	2.870528688	-5.929275967	0.001493552	0.034750872	-0.822594124	28755
DDN	-2.695404765	4.905177496	-5.928625863	0.001494334	0.034750872	-0.823175812	23109
ANGPT4	-1.910062354	2.150018677	-5.905499016	0.001522468	0.035177512	-0.843902466	51378
ATP2B2	-1.267992441	3.431435361	-5.905118735	0.001522936	0.035177512	-0.844243827	491
LDHAP7	-1.881285397	1.273976032	-5.901058745	0.00152794	0.035187395	-0.847889406	100190800
CCDC162P	-1.43678004	4.379625418	-5.89907211	0.001530395	0.035201662	-0.849673998	221262
RAET1E	-2.818442407	3.604208704	-5.868364605	0.00156894	0.035803751	-0.877320262	135250
PCK1	-4.563350851	3.917305624	-5.868357797	0.001568948	0.035803751	-0.877326404	5105
CYP2S1	-1.486543441	6.034644005	-5.867266903	0.001570338	0.035803751	-0.878310685	29785
PITX1	-2.087524763	5.463284393	-5.857559562	0.00158277	0.035919669	-0.887075802	5307
STING1	-1.537394765	7.632474854	-5.844652472	0.001599476	0.036151437	-0.898748146	340061
TTC29	-1.950999196	3.213581437	-5.829902503	0.001618819	0.036351893	-0.912112362	83894
ZNF618	-1.117345459	7.634359409	-5.828230045	0.001621029	0.036368685	-0.913629399	114991
CYTH4	-1.277401929	5.411360238	-5.825644036	0.001624454	0.036368685	-0.915975776	27128
RPL37P23	-1.039548165	3.619510089	-5.810542258	0.001644622	0.036652694	-0.929694776	648217
B4GAT1	-1.236556905	6.378414556	-5.81010922	0.001645204	0.036652694	-0.930088582	11041
CCDC180	-1.025252763	4.405199596	-5.808844548	0.001646907	0.036652694	-0.931238814	100499483
ATG9B	-1.703243407	5.099899649	-5.803593698	0.001653998	0.036758905	-0.936016649	285973
MYOM1	-1.180240836	5.377526357	-5.803327946	0.001654358	0.036758905	-0.936258553	8736
GLRX	-1.097190788	10.16566631	-5.769882358	0.001700382	0.037358023	-0.966773302	2745
APOBEC3H	-1.938638979	2.497640323	-5.754187809	0.001722489	0.03769285	-0.981140927	164668
GPR68	-2.463753372	4.013308655	-5.742474379	0.001739207	0.03793766	-0.99188424	8111
USP43	-1.614943209	4.48390068	-5.739132892	0.00174401	0.0379624	-0.994952157	124739
KYNU	-1.390367731	4.521777287	-5.734002402	0.001751416	0.038026781	-0.999665352	8942
PGGHG	-1.454007833	4.239086322	-5.731001858	0.001755763	0.03806061	-1.002423386	80162
DNAJA4-DT	-2.268180579	3.996995168	-5.71738692	0.001775649	0.038318432	-1.014952249	105370911
CSGALNACT1	-1.162602982	6.565438618	-5.674825646	0.00183952	0.039436155	-1.05427019	55790
GSAP	-1.509747152	5.840202739	-5.65723531	0.001866693	0.03948261	-1.070587547	54103
LINC02255	-2.099736006	1.71653467	-5.656068341	0.001868513	0.03948261	-1.071671466	105370894
SNRPGP14	-1.528320834	0.764160417	-5.652057712	0.00187478	0.03948261	-1.075397998	100874434
HMMR-AS1	-1.528320834	0.764160417	-5.652057712	0.00187478	0.03948261	-1.075397998	101927813
LINC01150	-1.528320834	0.764160417	-5.652057712	0.00187478	0.03948261	-1.075397998	101927624
BSG-AS1	-1.016547687	6.128757324	-5.644962432	0.001885928	0.03959583	-1.081995731	105372233
BFSP1	-1.014764134	8.972576847	-5.633205687	0.001904569	0.039890127	-1.092942279	631
CCR5AS	-1.122405082	5.716093665	-5.625392966	0.001917075	0.039957363	-1.100226431	102724297
DLGAP1-AS2	-1.52163114	6.999112048	-5.624683291	0.001918216	0.039957363	-1.100888482	84777
PRSS57	-3.871569948	2.709761006	-5.623188756	0.001920621	0.039957363	-1.102282937	400668
TNFSF18	-3.854080808	2.701016436	-5.613834483	0.001935752	0.040103616	-1.111017349	8995
FRRS1L	-1.328938615	6.515993929	-5.61252536	0.001937881	0.040103616	-1.112240624	23732
ADAM8	-1.1174281	6.880364045	-5.599796883	0.00195872	0.040277918	-1.124145945	101
TNFRSF14-AS1	-1.126231471	6.547491699	-5.595750916	0.001965398	0.040308284	-1.127934647	115110
CCDC137P	-2.531174838	3.786334894	-5.592994134	0.001969963	0.040371743	-1.13051735	642802
STX1B	-1.65163199	4.664054013	-5.590898342	0.001973442	0.040382723	-1.132481462	112755
CYCSP24	-2.043094339	1.354880503	-5.583358318	0.001986018	0.040536858	-1.139552446	360177
NINJ2	-1.501842678	4.761373538	-5.58284119	0.001986884	0.040536858	-1.140037675	4815
RGL3	-1.274607378	5.275930149	-5.580038471	0.001991584	0.040572428	-1.142668114	57139
TBC1D10C	-1.0753797	6.14298438	-5.572802121	0.00200378	0.040609844	-1.149464371	374403
KLHL6	-1.014812446	9.511268764	-5.570046686	0.002008447	0.040634095	-1.152054017	89857
PNPLA3	-1.025356579	5.529946193	-5.569473528	0.002009419	0.040634095	-1.152592813	80339
ZNF257	-1.124798505	2.147361753	-5.559704304	0.002026075	0.040770238	-1.161782932	113835
TSPAN10	-1.139203814	3.612696246	-5.547592332	0.002046949	0.040981169	-1.173194188	83882
RGS14	-2.128526569	4.953004619	-5.54467167	0.002052019	0.041011993	-1.175948744	10636
C4orf45	-2.694640828	3.706258946	-5.541465248	0.002057603	0.041033926	-1.178974091	152940
AZGP1	-2.595886275	4.148192066	-5.533660027	0.002071268	0.041276451	-1.186344149	563
SRP68P2	-1.440642698	1.915308849	-5.532240345	0.002073765	0.041291178	-1.187685536	252840
IFITM3	-1.813665075	4.612929948	-5.502265042	0.002127307	0.042057222	-1.216069395	10410
CCDC40	-1.04140713	5.160697097	-5.495245921	0.002140075	0.042188064	-1.222732913	55036
EVI2B	-1.782741613	4.827692198	-5.486711216	0.002155719	0.042337755	-1.230843975	2124
CAPN12	-2.132003969	5.042421454	-5.479540728	0.002168965	0.042453288	-1.237665962	147968
CD70	-1.234804216	6.357326625	-5.477854693	0.002172093	0.042453288	-1.239271037	970
SLC25A23	-1.287022418	7.500299646	-5.468366147	0.002189796	0.0427096	-1.24831097	79085
CACNA1C-AS2	-1.666666667	1.166666667	-5.462156078	0.002201473	0.042753452	-1.254233877	100874235
PLEKHG1	-1.133626479	3.202443438	-5.457283283	0.002210686	0.042834956	-1.258884924	57480
CARD16	-1.247033351	5.885061624	-5.453529308	0.002217814	0.042834956	-1.26247021	114769
SUN3	-1.992426641	0.996213321	-5.447081601	0.002230119	0.042834956	-1.268632545	256979
RPS12P20	-1.992426641	0.996213321	-5.447081601	0.002230119	0.042834956	-1.268632545	100271549
HPN-AS1	-1.992426641	0.996213321	-5.447081601	0.002230119	0.042834956	-1.268632545	100128675
TRIM6	-1.824395267	4.080139546	-5.430058014	0.002262989	0.04332839	-1.284929215	117854
LAX1	-1.637056797	6.605797309	-5.411133659	0.002300188	0.043681295	-1.303090777	54900
DEGS2	-1.748848761	3.737329259	-5.403142312	0.002316109	0.043922846	-1.310774366	123099
FAM95C	-1.265374355	3.116424215	-5.397098407	0.002328235	0.044043577	-1.316591183	100289137
ALOXE3P1	-1.818673663	4.054907346	-5.396770193	0.002328896	0.044043577	-1.316907205	100420216
IL2RB	-1.473059792	4.456487008	-5.393673712	0.002335139	0.044075674	-1.319889371	3560
SYBU	-1.63074794	4.441135348	-5.378142454	0.002366746	0.044513958	-1.33486664	55638
