ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-73929		"Base-Excision Repair, AP Site Formation"	35/808	63/10899	1.19E-23	3.19E-22	2.82E-22	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-1474165		Reproduction	52/808	143/10899	2.03E-23	5.29E-22	4.68E-22	H2BC14/CD9/H2BC9/H3C11/HSPA2/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/CATSPERG/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/TEX12/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/SYCP1/H3C12/H2AC20/H3C15/H4C14/H4C1	52
R-HSA-9609646		HCMV Infection	55/808	160/10899	2.50E-23	6.38E-22	5.64E-22	H2BC18/H2BC14/H2AC15/H2BC9/VPS37D/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	55
R-HSA-2559583		Cellular Senescence	61/808	197/10899	5.00E-23	1.25E-21	1.11E-21	H2BC14/H2BC9/H3C11/H1-3/JUN/H3C13/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H1-2/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/CDK6/H4C4/H4C2/MAPK3/ETS1/H1-1/H3C2/H4C15/ID1/H2BC21/H4C12/UBE2D1/H3C6/H4C11/H3C8/CXCL8/H3C12/H2AC20/H3C15/H4C14/CCNA1/H4C1/MAPK10	61
R-HSA-8939236		RUNX1 regulates transcription of genes involved in differentiation of HSCs	49/808	130/10899	6.20E-23	1.52E-21	1.34E-21	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/SPI1/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MYB/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	49
R-HSA-1221632		Meiotic synapsis	38/808	79/10899	1.37E-22	3.30E-21	2.92E-21	H2BC14/H2BC9/HSPA2/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/TEX12/H4C15/H2BC21/H4C12/H4C11/SYCP1/H2AC20/H4C14/H4C1	38
R-HSA-9018519		Estrogen-dependent gene expression	52/808	150/10899	2.62E-22	6.16E-21	5.45E-21	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/BCL2/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MYB/H3C2/H4C15/FOSB/H2BC21/H4C12/H3C6/NR5A2/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	52
R-HSA-9670095		Inhibition of DNA recombination at telomere	35/808	68/10899	3.66E-22	8.46E-21	7.48E-21	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-8939211		ESR-mediated signaling	64/808	223/10899	4.09E-22	9.26E-21	8.19E-21	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/PIK3R1/H4C8/BCL2/HSPB1/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/GNGT2/GNG8/HBEGF/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MYB/MAPK3/H3C2/H4C15/FOSB/H2BC21/H4C12/NOS3/H3C6/NR5A2/GNB5/H4C11/H3C8/AREG/H3C12/H2AC20/PRKCZ/H3C15/H4C14/MMP9/H4C1/GNG3	64
R-HSA-211000		Gene Silencing by RNA	49/808	138/10899	1.31E-21	2.92E-20	2.59E-20	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/MYBL1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MOV10L1/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	49
R-HSA-68875		Mitotic Prophase	49/808	142/10899	5.50E-21	1.20E-19	1.06E-19	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/H3C6/LPIN3/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	49
R-HSA-606279		Deposition of new CENPA-containing nucleosomes at the centromere	35/808	74/10899	1.35E-20	2.85E-19	2.52E-19	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-774815		Nucleosome assembly	35/808	74/10899	1.35E-20	2.85E-19	2.52E-19	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-68867		Assembly of the pre-replicative complex	48/808	143/10899	5.31E-20	1.10E-18	9.72E-19	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/UBE2D1/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-9006931		Signaling by Nuclear Receptors	70/808	299/10899	1.22E-18	2.48E-17	2.19E-17	H2BC14/ABCA1/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/PIK3R1/H4C8/BCL2/HSPB1/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/GNGT2/GNG8/HBEGF/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MYB/APOC1/MAPK3/H3C2/H4C15/FOSB/H2BC21/H4C12/NOS3/H3C6/NR5A2/GNB5/PCK1/H4C11/H3C8/AREG/H3C12/H2AC20/PRKCZ/H3C15/H4C14/MMP9/PDK2/ALDH1A2/H4C1/GNG3/CPT1B	70
R-HSA-212165		Epigenetic regulation of gene expression	47/808	149/10899	2.33E-18	4.66E-17	4.12E-17	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-201681		TCF dependent signaling in response to WNT	60/808	233/10899	3.03E-18	5.97E-17	5.28E-17	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/BTRC/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/RNF43/TLE4/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/FZD4/H3C12/H2AC20/LGR6/RSPO1/H3C15/PYGO1/FZD8/WNT5A/H4C14/SOX17/SOX7/H4C1/TPTEP2-CSNK1E/TCF7	60
R-HSA-69002		DNA Replication Pre-Initiation	48/808	160/10899	1.01E-17	1.95E-16	1.73E-16	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/UBE2D1/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-73884		Base Excision Repair	35/808	92/10899	7.03E-17	1.34E-15	1.19E-15	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-157579		Telomere Maintenance	38/808	113/10899	4.03E-16	7.57E-15	6.70E-15	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/GAR1/H4C12/H4C11/CHTF8/H2AC20/H4C14/CCNA1/H4C1	38
R-HSA-157118		Signaling by NOTCH	57/808	236/10899	5.09E-16	9.41E-15	8.32E-15	PLXND1/H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/FLT4/HEY2/TLE4/HDAC7/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/HES5/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/FCER2/DLL4/H4C1/DLL1	57
R-HSA-3214842		HDMs demethylate histones	25/808	50/10899	8.37E-16	1.52E-14	1.35E-14	H3C11/H3C13/H4C5/H4C6/H4C3/H4C8/H3C14/H4C9/H3C1/H3C7/H3C10/H4C13/H3C3/H4C4/H4C2/H3C2/H4C15/H4C12/H3C6/H4C11/H3C8/H3C12/H3C15/H4C14/H4C1	25
R-HSA-5693571		Nonhomologous End-Joining (NHEJ)	29/808	68/10899	8.88E-16	1.59E-14	1.41E-14	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H4C14/H4C1	29
R-HSA-8878171		Transcriptional regulation by RUNX1	57/808	239/10899	9.35E-16	1.65E-14	1.46E-14	H2BC14/H2BC9/H3C11/H3C13/CR1/H4C5/H4C6/H2BC4/H2BC10/SPI1/H2BC7/H2BC6/H4C3/H2AC4/H4C8/HIPK2/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/CLDN5/H2BC17/CDK6/H4C4/H4C2/TJP1/MYB/H3C2/H4C15/H2BC21/H4C12/H3C6/SOCS3/H4C11/H3C8/H3C12/H2AC20/CSF2/H3C15/H4C14/TNFRSF18/H4C1	57
R-HSA-69306		DNA Replication	49/808	188/10899	2.47E-15	4.29E-14	3.80E-14	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/UBE2D1/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/CCNA1/H4C1	49
R-HSA-195721		Signaling by WNT	68/808	332/10899	5.74E-15	9.85E-14	8.71E-14	H2BC14/PDE6G/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/BTRC/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/RNF43/TLE4/H2AC14/H3C14/WNT5B/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/GNGT2/GNG8/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/GNB5/PLCB2/H4C11/H3C8/FZD4/H3C12/H2AC20/LGR6/RSPO1/H3C15/PYGO1/PDE6A/FZD8/WNT5A/H4C14/SOX17/SOX7/H4C1/GNG3/TPTEP2-CSNK1E/TCF7	68
R-HSA-5693565		Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	29/808	77/10899	4.48E-14	7.57E-13	6.70E-13	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H4C14/H4C1	29
R-HSA-5693606		DNA Double Strand Break Response	29/808	78/10899	6.63E-14	1.11E-12	9.78E-13	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H4C14/H4C1	29
R-HSA-5693607		Processing of DNA double-strand break ends	31/808	97/10899	1.02E-12	1.69E-11	1.49E-11	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/RAD9B/H4C14/CCNA1/H4C1	31
R-HSA-73886		Chromosome Maintenance	38/808	141/10899	1.15E-12	1.87E-11	1.65E-11	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/GAR1/H4C12/H4C11/CHTF8/H2AC20/H4C14/CCNA1/H4C1	38
R-HSA-3247509		Chromatin modifying enzymes	56/808	274/10899	1.75E-12	2.77E-11	2.45E-11	H2BC18/H2BC14/H2AC15/H2BC9/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1/PADI4	56
R-HSA-4839726		Chromatin organization	56/808	274/10899	1.75E-12	2.77E-11	2.45E-11	H2BC18/H2BC14/H2AC15/H2BC9/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1/PADI4	56
R-HSA-69473		G2/M DNA damage checkpoint	30/808	94/10899	2.48E-12	3.87E-11	3.43E-11	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/RAD9B/H4C14/H4C1	30
R-HSA-3214841		PKMTs methylate histone lysines	25/808	71/10899	1.46E-11	2.26E-10	1.99E-10	H3C11/H3C13/H4C5/H4C6/H4C3/H4C8/H3C14/H4C9/H3C1/H3C7/H3C10/H4C13/H3C3/H4C4/H4C2/H3C2/H4C15/H4C12/H3C6/H4C11/H3C8/H3C12/H3C15/H4C14/H4C1	25
R-HSA-1266695		Interleukin-7 signaling	17/808	36/10899	1.18E-10	1.79E-09	1.58E-09	H3C11/H3C13/PIK3R1/H3C14/H3C1/RAG1/H3C7/SOCS1/H3C10/H3C3/H3C2/IL7/H3C6/H3C8/H3C12/H3C15/TSLP	17
R-HSA-195258		RHO GTPase Effectors	58/808	327/10899	2.83E-10	4.25E-09	3.76E-09	RHOB/H2BC14/H2BC9/H3C11/CDH1/H3C13/FMNL1/H4C5/H4C6/KLC3/H2BC4/NCF4/H2BC10/H2BC7/H2BC6/H4C3/ACTG1/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/NCF1/MAPK3/H3C2/H4C15/H2BC21/H4C12/WIPF1/H3C6/H4C11/H3C8/H3C12/H2AC20/PRKCZ/H3C15/H4C14/KLK3/H4C1	58
R-HSA-5693567		HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	31/808	132/10899	5.58E-09	8.27E-08	7.31E-08	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/RAD9B/H4C14/CCNA1/H4C1	31
R-HSA-5693538		Homology Directed Repair	31/808	138/10899	1.72E-08	2.53E-07	2.23E-07	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/RAD9B/H4C14/CCNA1/H4C1	31
R-HSA-5689901		Metalloprotease DUBs	13/808	37/10899	1.24E-06	1.80E-05	1.59E-05	H2AC15/H2AC12/H2AC11/H2AC4/H2AC14/H2AC8/H2AC17/H2AC13/H2AC21/H2AC19/H2AC18/H2AC16/H2AC20	13
R-HSA-5693532		DNA Double-Strand Break Repair	31/808	168/10899	1.79E-06	2.56E-05	2.27E-05	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/RAD9B/H4C14/CCNA1/H4C1	31
R-HSA-909733		Interferon alpha/beta signaling	18/808	72/10899	3.44E-06	4.86E-05	4.30E-05	XAF1/IFIT3/HLA-A/EGR1/ISG20/IFITM1/IRF6/BST2/PTPN6/USP18/SOCS1/IFITM2/SOCS3/IFITM3/IRF7/IFIT2/IFIT1/IRF4	18
R-HSA-2142753		Arachidonic acid metabolism	16/808	59/10899	3.81E-06	5.26E-05	4.65E-05	CYP1B1/HPGDS/DPEP2/ALOX12B/HPGD/CYP2C19/ALOX5/ALOXE3/DPEP3/CYP4F3/PTGES/TBXAS1/CYP4A22/GGT1/GGT5/FAAH2	16
R-HSA-8866654		E3 ubiquitin ligases ubiquitinate target proteins	16/808	59/10899	3.81E-06	5.26E-05	4.65E-05	H2BC14/H2BC9/H2BC4/H2BC10/H2BC7/H2BC6/HLA-A/H2BC3/H2BC15/H2BC8/H2BC5/H2BC11/H2BC12/H2BC13/H2BC17/UBE2D1	16
R-HSA-69481		G2/M Checkpoints	30/808	167/10899	4.64E-06	6.33E-05	5.60E-05	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H4C8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2BC12/H2BC13/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/RAD9B/H4C14/H4C1	30
R-HSA-5689880		Ub-specific processing proteases	34/808	220/10899	3.19E-05	0.000431075	0.000381221	H2BC18/H2BC14/H2AC15/H2BC9/H2AC12/H2AC11/H2BC4/H2BC10/H2BC7/H2BC6/H2AC4/H2AC14/H2AC8/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H2AC21/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/USP18/H2BC17/H2AC16/H2BC21/USP26/H2AC20/USP17L2/ADRB2/CCNA1	34
R-HSA-68886		M Phase	52/808	418/10899	0.000143397	0.001913549	0.001692249	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/PRKACA/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/UBE2D1/H3C6/LPIN3/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1/TPTEP2-CSNK1E	52
R-HSA-5669034		TNFs bind their physiological receptors	9/808	29/10899	0.000167297	0.002207951	0.001952603	TNFRSF1B/TNFRSF14/TNFSF18/CD70/TNFSF14/EDARADD/TNFRSF18/TNFSF4/TNFRSF25	9
R-HSA-8852135		Protein ubiquitination	16/808	79/10899	0.000184586	0.002409652	0.002130977	H2BC14/H2BC9/H2BC4/H2BC10/H2BC7/H2BC6/HLA-A/H2BC3/H2BC15/H2BC8/H2BC5/H2BC11/H2BC12/H2BC13/H2BC17/UBE2D1	16
R-HSA-416482		G alpha (12/13) signalling events	16/808	80/10899	0.000215172	0.002778728	0.00245737	RHOB/ARHGEF6/ITSN1/KALRN/GNGT2/GNG8/PREX1/VAV1/GNB5/ARHGEF15/FGD2/TIAM1/ARHGEF3/GNG3/TBXA2R/ARHGEF38	16
R-HSA-449147		Signaling by Interleukins	56/808	473/10899	0.000296423	0.003787274	0.003349278	LGALS9/CA1/H3C11/JUN/IL1R1/MUC1/H3C13/CSF1/CSF2RB/BTRC/PIK3R1/BCL2/H3C14/PRKACA/IL1RN/H3C1/TNFRSF1B/RAG1/H3C7/VAV1/PTPN6/USP18/PTPN13/SOCS1/H3C10/H3C3/IL6ST/ITGB2/IL20RB/MAPK3/H3C2/IL7/H3C6/ITGAM/SOCS3/FOXO1/IL2RB/H3C8/ALOX5/CXCL8/H3C12/F13A1/CSF2/H3C15/IL1B/IL13RA1/HAVCR2/CD4/IL5RA/MMP9/FCER2/IRF4/TSLP/TNF/MAPK10/NOS2	56
R-HSA-6785807		Interleukin-4 and Interleukin-13 signaling	19/808	108/10899	0.000333405	0.004214943	0.003727488	MUC1/PIK3R1/BCL2/TNFRSF1B/SOCS1/ITGB2/ITGAM/SOCS3/FOXO1/ALOX5/CXCL8/F13A1/IL1B/IL13RA1/MMP9/FCER2/IRF4/TNF/NOS2	19
